Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,,,,,,
,,Hogares,,,,,,,,,,,,,,,,,,,,
,,Hogares (Hogares),,,,,,,,,,,Población en hogares (Hogares),,,,,,,,,
,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes",Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
20215,San Juan Sayultepec,148,126,22,148,148,,,148,,,,660,612,48,660,660,,,,,
20216,San Juan Tabaá,285,215,70,285,285,,,,,285,,1158,953,205,1158,1158,,,,,
20217,San Juan Tamazola,631,552,79,631,631,108,146,247,130,,,3464,3198,266,3464,3464,,,,,
20218,San Juan Teita,128,108,20,128,128,,,,128,,,722,619,103,722,722,,,,,
20219,San Juan Teitipac,608,473,135,608,,,,,,,,2868,2365,503,2868,,2868,,,,
20220,San Juan Tepeuxila,728,633,95,728,728,7,12,101,608,,,2979,2711,268,2979,2979,,,,,
20221,San Juan Teposcolula,368,291,77,368,368,,17,199,152,,,1457,1268,189,1457,1457,,,,,
20222,San Juan Yaeé,444,301,143,444,444,,,229,215,,,1618,1236,382,1618,1618,,,,,
20223,San Juan Yatzona,108,94,14,108,108,,,108,,,,487,447,40,487,487,,,,,
20224,San Juan Yucuita,185,144,41,185,185,6,,49,130,,,755,614,141,755,755,,,,,
20225,San Lorenzo,861,741,120,861,861,9,,168,125,559,,4777,4296,481,4777,4777,,,,,
20226,San Lorenzo Albarradas,481,426,55,481,481,28,,84,91,278,,2671,2459,212,2671,2671,,,,,
20227,San Lorenzo Cacaotepec,1352,1125,227,1352,477,,,,181,296,,7038,6082,956,7038,2509,4529,,,,
20228,San Lorenzo Cuaunecuiltitla,134,101,33,134,134,,,,134,,,632,518,114,632,632,,,,,
20229,San Lorenzo Texmelúcan,676,595,81,676,676,,,93,583,,,4069,3616,453,4069,4069,,,,,
20230,San Lorenzo Victoria,280,211,69,280,280,5,,,275,,,1512,1270,242,1512,1512,,,,,
20231,San Lucas Camotlán,498,447,51,498,498,,,,136,362,,2459,2299,160,2459,2459,,,,,
20232,San Lucas Ojitlán,2879,2467,412,2879,1944,48,116,1149,458,173,,16374,14687,1687,16374,11351,5023,,,,
20233,San Lucas Quiaviní,349,304,45,349,349,,,,,,349,2098,1890,208,2098,2098,,,,,
20234,San Lucas Zoquiápam,1511,1228,283,1511,1511,,15,606,663,227,,7092,6132,960,7092,7092,,,,,
20235,San Luis Amatlán,795,566,229,795,795,59,65,201,,470,,3729,2883,846,3729,3729,,,,,
20236,San Marcial Ozolotepec,338,287,51,338,338,126,87,26,99,,,1680,1480,200,1680,1680,,,,,
20237,San Marcos Arteaga,487,358,129,487,487,4,,72,135,276,,2223,1802,421,2223,2223,,,,,
20238,San Martín de los Cansecos,164,125,39,164,164,,,,164,,,784,635,149,784,784,,,,,
20239,San Martín Huamelúlpam,276,184,92,276,276,9,41,226,,,,1210,909,301,1210,1210,,,,,
20240,San Martín Itunyoso,359,254,105,359,359,,,59,300,,,1672,1310,362,1672,1672,,,,,
20241,San Martín Lachilá,257,193,64,257,257,2,,,,255,,1322,1077,245,1322,1322,,,,,
20242,San Martín Peras,1049,881,168,1049,1049,,15,577,125,332,,5751,4993,758,5751,5751,,,,,
20243,San Martín Tilcajete,276,252,24,276,276,,,,,276,,1585,1471,114,1585,1585,,,,,
20244,San Martín Toxpalan,594,496,98,594,594,,21,246,,327,,2767,2428,339,2767,2767,,,,,
20245,San Martín Zacatepec,326,250,76,326,326,,8,,318,,,1613,1380,233,1613,1613,,,,,
20246,San Mateo Cajonos,172,134,38,172,172,,,23,149,,,686,601,85,686,686,,,,,
20247,Capulálpam de Méndez,316,244,72,316,316,,,,,316,,1427,1174,253,1427,1427,,,,,
20248,San Mateo del Mar,1717,1569,148,1717,880,,,291,92,497,,9435,8771,664,9435,4911,4524,,,,
20249,San Mateo Yoloxochitlán,540,418,122,540,540,,,22,111,407,,2638,2218,420,2638,2638,,,,,
20250,San Mateo Etlatongo,240,190,50,240,240,4,,125,111,,,1185,1008,177,1185,1185,,,,,
20251,San Mateo Nejápam,190,169,21,190,190,,15,,,175,,970,907,63,970,970,,,,,
20252,San Mateo Peñasco,340,215,125,340,340,,,65,275,,,1573,1079,494,1573,1573,,,,,
20253,San Mateo Piñas,1007,824,183,1007,1007,14,136,551,306,,,5068,4332,736,5068,5068,,,,,
20254,San Mateo Río Hondo,684,564,120,684,684,62,131,121,370,,,3732,3277,455,3732,3732,,,,,
20255,San Mateo Sindihui,330,307,23,330,330,9,,36,,285,,1718,1650,68,1718,1718,,,,,
20256,San Mateo Tlapiltepec,65,51,14,65,65,,,65,,,,261,216,45,261,261,,,,,
20257,San Melchor Betaza,326,255,71,326,326,,,79,247,,,1183,1017,166,1183,1183,,,,,
20258,San Miguel Achiutla,295,221,74,295,295,,,60,235,,,1198,982,216,1198,1198,,,,,
20259,San Miguel Ahuehuetitlán,382,309,73,382,382,,12,94,,276,,2214,1890,324,2214,2214,,,,,
20260,San Miguel Aloápam,506,449,57,506,506,,,,133,373,,2458,2233,225,2458,2458,,,,,
20261,San Miguel Amatitlán,997,852,145,997,997,3,14,528,214,238,,5614,5059,555,5614,5614,,,,,
20262,San Miguel Amatlán,241,187,54,241,241,3,23,87,128,,,1089,921,168,1089,1089,,,,,
20263,San Miguel Coatlán,465,387,78,465,465,52,64,168,181,,,2583,2238,345,2583,2583,,,,,
20264,San Miguel Chicahua,434,346,88,434,434,27,46,81,117,163,,2542,2174,368,2542,2542,,,,,
20265,San Miguel Chimalapa,1098,976,122,1098,1098,15,82,422,322,257,,5643,5188,455,5643,5643,,,,,
20266,San Miguel del Puerto,1374,1134,240,1374,1374,114,139,211,135,353,422,7517,6398,1119,7517,7517,,,,,
20267,San Miguel del Río,91,75,16,91,91,,,91,,,,398,348,50,398,398,,,,,
20268,San Miguel Ejutla,154,118,36,154,154,14,,,140,,,801,652,149,801,801,,,,,
20269,San Miguel el Grande,997,668,329,997,997,,,461,279,257,,4336,3360,976,4336,4336,,,,,
20270,San Miguel Huautla,374,313,61,374,374,9,17,148,200,,,1882,1685,197,1882,1882,,,,,
20271,San Miguel Mixtepec,357,319,38,357,357,6,19,332,,,,1786,1635,151,1786,1786,,,,,
20272,San Miguel Panixtlahuaca,528,341,187,528,126,52,47,27,,,,3792,2476,1316,3792,738,3054,,,,
20273,San Miguel Peras,631,555,76,631,631,,,176,203,252,,3327,3096,231,3327,3327,,,,,
20274,San Miguel Piedras,236,189,47,236,236,,22,214,,,,1293,1055,238,1293,1293,,,,,
20275,San Miguel Quetzaltepec,993,890,103,993,368,9,47,159,153,,,4717,4403,314,4717,1751,2966,,,,
20276,San Miguel Santa Flor,222,174,48,222,222,20,27,19,156,,,1134,923,211,1134,1134,,,,,
20277,Villa Sola de Vega,2127,1669,458,2127,2127,199,282,880,422,344,,11216,9362,1854,11216,11216,,,,,
20278,San Miguel Soyaltepec,6048,5267,781,6048,4858,42,26,1312,1375,2103,,30509,27520,2989,30509,24643,5866,,,,
20279,San Miguel Suchixtepec,429,359,70,429,429,63,55,67,,244,,2432,2066,366,2432,2432,,,,,
20280,Villa Talea de Castro,769,570,199,769,769,,18,173,,,578,2849,2405,444,2849,2849,,,,,
20281,San Miguel Tecomatlán,74,56,18,74,74,,,74,,,,273,227,46,273,273,,,,,
20282,San Miguel Tenango,194,172,22,194,194,27,28,28,111,,,920,865,55,920,920,,,,,
20283,San Miguel Tequixtepec,267,215,52,267,267,7,,112,148,,,1129,1001,128,1129,1129,,,,,
20284,San Miguel Tilquiápam,453,359,94,453,6,,6,,,,,3136,2649,487,3136,58,3078,,,,
20285,San Miguel Tlacamama,526,402,124,526,526,30,,184,,312,,2731,2266,465,2731,2731,,,,,
20286,San Miguel Tlacotepec,635,418,217,635,635,3,13,202,,417,,2979,2110,869,2979,2979,,,,,
20287,San Miguel Tulancingo,175,117,58,175,175,36,24,115,,,,608,490,118,608,608,,,,,
20288,San Miguel Yotao,135,107,28,135,135,,,,135,,,506,450,56,506,506,,,,,
20289,San Nicolás,272,209,63,272,272,,,77,195,,,1335,1080,255,1335,1335,,,,,
20290,San Nicolás Hidalgo,195,171,24,195,195,8,,,,187,,1076,983,93,1076,1076,,,,,
20291,San Pablo Coatlán,711,616,95,711,711,2,14,40,441,214,,3710,3323,387,3710,3710,,,,,
20292,San Pablo Cuatro Venados,182,162,20,182,182,32,25,125,,,,1230,1091,139,1230,1230,,,,,
20293,San Pablo Etla,890,772,118,890,890,1,,146,,743,,4195,3752,443,4195,4195,,,,,
20294,San Pablo Huitzo,1018,790,228,1018,96,27,24,45,,,,4878,4034,844,4878,503,4375,,,,
20295,San Pablo Huixtepec,1540,1244,296,1540,5,5,,,,,,8115,6908,1207,8115,25,8090,,,,
20296,San Pablo Macuiltianguis,327,270,57,327,327,3,,,324,,,1442,1282,160,1442,1442,,,,,
20297,San Pablo Tijaltepec,478,345,133,478,478,17,60,258,143,,,2227,1690,537,2227,2227,,,,,
20298,San Pablo Villa de Mitla,1908,1553,355,1908,640,1,,30,403,206,,10273,8723,1550,10273,3310,6963,,,,
20299,San Pablo Yaganiza,213,173,40,213,213,,,,213,,,937,820,117,937,937,,,,,
20300,San Pedro Amuzgos,832,666,166,832,237,3,,136,98,,,4612,3913,699,4612,1297,3315,,,,
20301,San Pedro Apóstol,418,314,104,418,418,,13,,,405,,1683,1401,282,1683,1683,,,,,
20302,San Pedro Atoyac,572,458,114,572,572,13,17,120,,,422,3213,2713,500,3213,3213,,,,,
20303,San Pedro Cajonos,329,219,110,329,329,,,,,329,,1275,986,289,1275,1275,,,,,
20304,San Pedro Coxcaltepec Cántaros,277,238,39,277,277,10,31,236,,,,1250,1138,112,1250,1250,,,,,
20305,San Pedro Comitancillo,822,601,221,822,5,5,,,,,,3642,2905,737,3642,35,3607,,,,
20306,San Pedro el Alto,631,556,75,631,631,,24,319,109,179,,3689,3321,368,3689,3689,,,,,
20307,San Pedro Huamelula,1628,1315,313,1628,1628,37,53,217,411,910,,7665,6682,983,7665,7665,,,,,
20308,San Pedro Huilotepec,407,358,49,407,407,,,,,,407,2195,1988,207,2195,2195,,,,,
20309,San Pedro Ixcatlán,1910,1688,222,1910,1367,27,37,490,381,432,,9556,8749,807,9556,6850,2706,,,,
20310,San Pedro Ixtlahuaca,498,424,74,498,498,6,,140,,352,,2674,2361,313,2674,2674,,,,,
20311,San Pedro Jaltepetongo,143,122,21,143,143,,,,143,,,719,627,92,719,719,,,,,
20312,San Pedro Jicayán,1482,1230,252,1482,796,50,,189,335,222,,8344,7181,1163,8344,4736,3608,,,,
20313,San Pedro Jocotipac,261,207,54,261,261,,,,,261,,1117,979,138,1117,1117,,,,,
20314,San Pedro Juchatengo,302,235,67,302,302,48,8,,,246,,1567,1298,269,1567,1567,,,,,
20315,San Pedro Mártir,339,269,70,339,339,,,,,339,,1698,1434,264,1698,1698,,,,,
20316,San Pedro Mártir Quiechapa,169,133,36,169,169,,,,169,,,835,707,128,835,835,,,,,
20317,San Pedro Mártir Yucuxaco,365,252,113,365,365,5,38,322,,,,1610,1278,332,1610,1610,,,,,
20318,San Pedro Mixtepec -Dto. 22 -,4097,3346,751,4097,957,77,69,522,289,,,20504,17334,3170,20504,5283,15221,,,,
20319,San Pedro Mixtepec -Dto. 26 -,277,225,52,277,277,4,,,,273,,1372,1183,189,1372,1372,,,,,
20320,San Pedro Molinos,164,103,61,164,164,,,164,,,,624,435,189,624,624,,,,,
20321,San Pedro Nopala,213,175,38,213,213,1,,115,97,,,1049,941,108,1049,1049,,,,,
20322,San Pedro Ocopetatillo,180,139,41,180,180,,,,180,,,876,680,196,876,876,,,,,
20323,San Pedro Ocotepec,355,288,67,355,355,5,10,32,308,,,1671,1464,207,1671,1671,,,,,
20324,San Pedro Pochutla,4655,3801,854,4655,3059,106,241,1260,636,449,367,24764,20893,3871,24764,16775,7989,,,,
20325,San Pedro Quiatoni,1706,1542,164,1706,1706,31,105,978,,592,,8375,7756,619,8375,8375,,,,,
20326,San Pedro Sochiápam,679,608,71,679,679,7,,90,154,428,,3791,3514,277,3791,3791,,,,,
20327,San Pedro Tapanatepec,2216,1836,380,2216,1081,110,26,471,,474,,10381,8869,1512,10381,5070,5311,,,,
20328,San Pedro Taviche,149,134,15,149,149,17,,,132,,,841,779,62,841,841,,,,,
20329,San Pedro Teozacoalco,279,244,35,279,279,,,279,,,,1400,1305,95,1400,1400,,,,,
20330,San Pedro Teutila,726,597,129,726,726,10,37,120,231,328,,3535,3084,451,3535,3535,,,,,
20331,San Pedro Tidaá,257,205,52,257,257,,,,,257,,996,881,115,996,996,,,,,
20332,San Pedro Topiltepec,137,109,28,137,137,,,137,,,,527,464,63,527,527,,,,,
20333,San Pedro Totolápam,621,490,131,621,621,17,,193,,,411,3032,2572,460,3032,3032,,,,,
20334,Villa de Tututepec de Melchor Ocampo,6617,5288,1329,6617,3843,163,125,1109,1280,749,417,34740,29017,5723,34740,20408,14332,,,,
20335,San Pedro Yaneri,220,175,45,220,220,,,220,,,,883,746,137,883,883,,,,,
20336,San Pedro Yólox,529,432,97,529,529,29,57,259,184,,,2883,2476,407,2883,2883,,,,,
20337,San Pedro y San Pablo Ayutla,1153,896,257,1153,1153,,30,,811,312,,5120,4297,823,5120,5120,,,,,
20338,Villa de Etla,1152,895,257,1152,181,,,,181,,,5748,4684,1064,5748,857,4891,,,,
20339,San Pedro y San Pablo Teposcolula,833,657,176,833,833,4,68,346,123,292,,3633,3124,509,3633,3633,,,,,
20340,San Pedro y San Pablo Tequixtepec,703,477,226,703,703,39,11,325,328,,,2850,2171,679,2850,2850,,,,,
20341,San Pedro Yucunama,59,45,14,59,59,,,59,,,,236,201,35,236,236,,,,,
20342,San Raymundo Jalpan,305,253,52,305,305,,,,,305,,1429,1220,209,1429,1429,,,,,
20343,San Sebastián Abasolo,367,283,84,367,367,,,55,,312,,2004,1595,409,2004,2004,,,,,
20344,San Sebastián Coatlán,444,362,82,444,444,,47,35,121,241,,2329,2032,297,2329,2329,,,,,
20345,San Sebastián Ixcapa,724,577,147,724,724,8,,160,96,460,,3930,3338,592,3930,3930,,,,,
20346,San Sebastián Nicananduta,427,354,73,427,427,,,,,427,,1751,1577,174,1751,1751,,,,,
20347,San Sebastián Río Hondo,474,422,52,474,474,32,58,178,206,,,2654,2426,228,2654,2654,,,,,
20348,San Sebastián Tecomaxtlahuaca,1681,1232,449,1681,1681,45,174,769,264,,429,8382,6727,1655,8382,8382,,,,,
20349,San Sebastián Teitipac,398,328,70,398,398,,,23,,,375,2175,1858,317,2175,2175,,,,,
20350,San Sebastián Tutla,933,747,186,933,933,,,,,498,435,4206,3508,698,4206,4206,,,,,
20351,San Simón Almolongas,511,416,95,511,511,,,138,136,237,,2575,2226,349,2575,2575,,,,,
20352,San Simón Zahuatlán,197,191,6,197,197,,,,,197,,1646,1610,36,1646,1646,,,,,
20353,Santa Ana,278,247,31,278,278,,,,,278,,1672,1549,123,1672,1672,,,,,
20354,Santa Ana Ateixtlahuaca,121,99,22,121,121,12,,109,,,,551,480,71,551,551,,,,,
20355,Santa Ana Cuauhtémoc,206,172,34,206,206,20,41,,145,,,930,808,122,930,930,,,,,
20356,Santa Ana del Valle,426,307,119,426,426,,,,,,426,2211,1677,534,2211,2211,,,,,
20357,Santa Ana Tavela,324,260,64,324,324,,,,,324,,1351,1175,176,1351,1351,,,,,
20358,Santa Ana Tlapacoyan,643,516,127,643,643,,,116,173,354,,3076,2631,445,3076,3076,,,,,
20359,Santa Ana Yareni,277,243,34,277,277,,,,,277,,1230,1116,114,1230,1230,,,,,
20360,Santa Ana Zegache,601,497,104,601,124,,,124,,,,3299,2902,397,3299,768,2531,,,,
20361,Santa Catalina Quierí,254,200,54,254,254,,,,,254,,1239,1056,183,1239,1239,,,,,
20362,Santa Catarina Cuixtla,410,340,70,410,410,5,,,,405,,1948,1743,205,1948,1948,,,,,
20363,Santa Catarina Ixtepeji,488,421,67,488,488,19,33,257,179,,,2279,2047,232,2279,2279,,,,,
20364,Santa Catarina Juquila,1982,1475,507,1982,1413,91,194,533,176,419,,11069,8672,2397,11069,8081,2988,,,,
20365,Santa Catarina Lachatao,386,322,64,386,386,54,23,189,120,,,1702,1476,226,1702,1702,,,,,
20366,Santa Catarina Loxicha,784,701,83,784,784,29,85,326,,,344,4437,4040,397,4437,4437,,,,,
20367,Santa Catarina Mechoacán,661,554,107,661,4,4,,,,,,3654,3159,495,3654,11,3643,,,,
20368,Santa Catarina Minas,304,246,58,304,304,10,,,,294,,1514,1292,222,1514,1514,,,,,
20369,Santa Catarina Quiané,317,262,55,317,317,,,,,317,,1637,1416,221,1637,1637,,,,,
20370,Santa Catarina Tayata,168,115,53,168,168,10,30,128,,,,694,508,186,694,694,,,,,
20371,Santa Catarina Ticuá,265,171,94,265,265,5,,260,,,,882,664,218,882,882,,,,,
20372,Santa Catarina Yosonotú,483,344,139,483,483,,12,233,238,,,2169,1815,354,2169,2169,,,,,
20373,Santa Catarina Zapoquila,172,143,29,172,172,,36,136,,,,806,737,69,806,806,,,,,
20374,Santa Cruz Acatepec,230,186,44,230,230,,42,,188,,,1070,928,142,1070,1070,,,,,
20375,Santa Cruz Amilpas,989,822,167,989,9,,9,,,,,4198,3595,603,4198,50,4148,,,,
20376,Santa Cruz de Bravo,126,82,44,126,126,8,,,118,,,567,443,124,567,567,,,,,
20377,Santa Cruz Itundujia,1849,1573,276,1849,1849,162,385,981,106,215,,9516,8526,990,9516,9516,,,,,
20378,Santa Cruz Mixtepec,690,543,147,690,690,,10,,248,432,,3531,2932,599,3531,3531,,,,,
20379,Santa Cruz Nundaco,459,353,106,459,459,,,94,365,,,2518,2105,413,2518,2518,,,,,
20380,Santa Cruz Papalutla,320,251,69,320,320,,,,,320,,1697,1415,282,1697,1697,,,,,
20381,Santa Cruz Tacache de Mina,518,411,107,518,518,,,,102,,416,2796,2366,430,2796,2796,,,,,
20382,Santa Cruz Tacahua,267,202,65,267,267,,13,254,,,,1198,984,214,1198,1198,,,,,
20383,Santa Cruz Tayata,123,100,23,123,123,,,123,,,,530,466,64,530,530,,,,,
20384,Santa Cruz Xitla,579,474,105,579,167,,,,167,,,3444,2966,478,3444,821,2623,,,,
20385,Santa Cruz Xoxocotlán,5967,4745,1222,5967,783,,14,195,294,280,,30258,24973,5285,30258,3897,,26361,,,
20386,Santa Cruz Zenzontepec,2045,1835,210,2045,2045,31,90,1190,734,,,11413,10496,917,11413,11413,,,,,
20387,Santa Gertrudis,823,623,200,823,265,1,,,264,,,3900,3182,718,3900,1183,2717,,,,
20388,Santa Inés del Monte,334,263,71,334,334,,,204,130,,,1931,1596,335,1931,1931,,,,,
20389,Santa Inés Yatzeche,191,148,43,191,191,,,,,191,,1138,938,200,1138,1138,,,,,
20390,Santa Lucía del Camino,5794,4485,1309,5794,311,10,,,,301,,27690,22471,5219,27690,1501,,26189,,,
20391,Santa Lucía Miahuatlán,476,432,44,476,476,10,13,256,,197,,2395,2212,183,2395,2395,,,,,
20392,Santa Lucía Monteverde,1372,1041,331,1372,1372,38,30,691,613,,,6936,5528,1408,6936,6936,,,,,
20393,Santa Lucía Ocotlán,476,402,74,476,5,5,,,,,,2805,2454,351,2805,31,2774,,,,
20394,Santa María Alotepec,571,466,105,571,571,,,107,252,212,,2463,2179,284,2463,2463,,,,,
20395,Santa María Apazco,607,470,137,607,607,2,11,80,514,,,3117,2569,548,3117,3117,,,,,
20396,Santa María la Asunción,743,551,192,743,743,,,76,,667,,3386,2733,653,3386,3386,,,,,
20397,Heroica Ciudad de Tlaxiaco,4488,3418,1070,4488,2444,4,139,1782,519,,,22592,18439,4153,22592,13136,9456,,,,
20398,Ayoquezco de Aldama,1128,929,199,1128,104,1,7,96,,,,5785,5065,720,5785,547,5238,,,,
20399,Santa María Atzompa,1092,945,147,1092,458,7,12,179,260,,,5760,5176,584,5760,2425,3335,,,,
20400,Santa María Camotlán,352,283,69,352,352,4,,,,348,,1710,1493,217,1710,1710,,,,,
20401,Santa María Colotepec,2141,1757,384,2141,1278,27,266,625,360,,,12208,10340,1868,12208,7944,4264,,,,
20402,Santa María Cortijo,170,130,40,170,170,4,,,166,,,951,777,174,951,951,,,,,
20403,Santa María Coyotepec,180,154,26,180,180,,,,180,,,877,773,104,877,877,,,,,
20404,Santa María Chachoápam,212,176,36,212,212,3,,209,,,,859,764,95,859,859,,,,,
20405,Villa de Chilapa de Díaz,502,311,191,502,502,16,,116,,370,,2022,1407,615,2022,2022,,,,,
20406,Santa María Chilchotla,3533,3052,481,3533,3533,23,132,2255,794,329,,18640,16775,1865,18640,18640,,,,,
20407,Santa María Chimalapa,1078,968,110,1078,1078,54,42,359,205,,418,5637,5224,413,5637,5637,,,,,
20408,Santa María del Rosario,90,70,20,90,90,17,22,51,,,,445,376,69,445,445,,,,,
20409,Santa María del Tule,1424,1135,289,1424,68,,,68,,,,6356,5345,1011,6356,370,5986,,,,
20410,Santa María Ecatepec,812,664,148,812,812,,,227,585,,,3636,3202,434,3636,3636,,,,,
20411,Santa María Guelacé,117,93,24,117,117,,,,117,,,642,526,116,642,642,,,,,
20412,Santa María Guienagati,370,308,62,370,370,32,32,143,163,,,1957,1730,227,1957,1957,,,,,
20413,Santa María Huatulco,2290,1895,395,2290,1815,93,141,738,234,609,,11382,9675,1707,11382,9345,2037,,,,
20414,Santa María Huazolotitlán,1778,1432,346,1778,908,19,,196,128,196,369,9299,7906,1393,9299,4852,4447,,,,
20415,Santa María Ipalapa,790,623,167,790,790,28,12,79,,671,,4604,3787,817,4604,4604,,,,,
20416,Santa María Ixcatlán,182,134,48,182,182,,,,182,,,719,614,105,719,719,,,,,
20417,Santa María Jacatepec,1518,1346,172,1518,1518,27,83,451,477,480,,8048,7349,699,8048,8048,,,,,
20418,Santa María Jalapa del Marqués,2036,1683,353,2036,446,14,35,284,113,,,9903,8618,1285,9903,2264,7639,,,,
20419,Santa María Jaltianguis,176,127,49,176,176,,,,176,,,750,596,154,750,750,,,,,
20420,Santa María Lachixío,171,153,18,171,171,,,41,130,,,1022,945,77,1022,1022,,,,,
20421,Santa María Mixtequilla,792,668,124,792,35,3,,32,,,,3622,3200,422,3622,197,3425,,,,
20422,Santa María Nativitas,243,132,111,243,243,3,,240,,,,864,557,307,864,864,,,,,
20423,Santa María Nduayaco,187,143,44,187,187,14,33,140,,,,751,615,136,751,751,,,,,
20424,Santa María Ozolotepec,720,560,160,720,720,72,58,138,452,,,3741,3113,628,3741,3741,,,,,
20425,Santa María Pápalo,395,360,35,395,395,,,113,,282,,1776,1677,99,1776,1776,,,,,
20426,Santa María Peñoles,1058,930,128,1058,1058,17,,1041,,,,6176,5583,593,6176,6176,,,,,
20427,Santa María Petapa,2215,1807,408,2215,1025,2,16,346,242,419,,10585,9071,1514,10585,4728,5857,,,,
20428,Santa María Quiegolani,316,269,47,316,316,4,,135,177,,,1486,1356,130,1486,1486,,,,,
20429,Santa María Sola,351,283,68,351,351,8,9,85,249,,,1833,1579,254,1833,1833,,,,,
20430,Santa María Tataltepec,116,86,30,116,116,,,116,,,,494,411,83,494,494,,,,,
20431,Santa María Tecomavaca,324,267,57,324,324,,25,,,299,,1653,1442,211,1653,1653,,,,,
20432,Santa María Temaxcalapa,196,162,34,196,196,,,,196,,,884,799,85,884,884,,,,,
20433,Santa María Temaxcaltepec,292,222,70,292,292,16,11,119,146,,,1495,1195,300,1495,1495,,,,,
20434,Santa María Teopoxco,758,633,125,758,758,,47,418,123,170,,4065,3612,453,4065,4065,,,,,
20435,Santa María Tepantlali,457,388,69,457,457,,31,280,146,,,2316,2039,277,2316,2316,,,,,
20436,Santa María Texcatitlán,255,209,46,255,255,,,,,255,,1073,974,99,1073,1073,,,,,
20437,Santa María Tlahuitoltepec,1345,1037,308,1345,1345,2,8,575,362,,398,6641,5537,1104,6641,6641,,,,,
20438,Santa María Tlalixtac,297,242,55,297,297,10,27,109,151,,,1439,1236,203,1439,1439,,,,,
20439,Santa María Tonameca,2594,2155,439,2594,2594,72,204,1418,665,235,,15038,12808,2230,15038,15038,,,,,
20440,Santa María Totolapilla,187,164,23,187,187,,,,187,,,908,824,84,908,908,,,,,
20441,Santa María Xadani,949,810,139,949,25,25,,,,,,4897,4330,567,4897,86,4811,,,,
20442,Santa María Yalina,117,83,34,117,117,,,117,,,,403,332,71,403,403,,,,,
20443,Santa María Yavesía,201,147,54,201,201,,,,201,,,702,565,137,702,702,,,,,
20444,Santa María Yolotepec,115,86,29,115,115,9,19,87,,,,481,405,76,481,481,,,,,
20445,Santa María Yosoyúa,243,179,64,243,243,12,,107,124,,,1163,923,240,1163,1163,,,,,
20446,Santa María Yucuhiti,1174,1035,139,1174,1174,,,131,624,419,,6798,6188,610,6798,6798,,,,,
20447,Santa María Zacatepec,2521,2065,456,2521,1909,36,44,779,535,515,,14476,12466,2010,14476,10769,3707,,,,
20448,Santa María Zaniza,202,155,47,202,202,8,24,,170,,,995,803,192,995,995,,,,,
20449,Santa María Zoquitlán,813,673,140,813,813,59,57,192,99,406,,4186,3675,511,4186,4186,,,,,
20450,Santiago Amoltepec,1368,1184,184,1368,1368,,20,785,563,,,7407,6535,872,7407,7407,,,,,
20451,Santiago Apoala,370,314,56,370,370,,,242,128,,,1613,1462,151,1613,1613,,,,,
20452,Santiago Apóstol,927,748,179,927,,,,,,,,4441,3815,626,4441,,4441,,,,
20453,Santiago Astata,525,452,73,525,525,6,,58,,461,,2260,2038,222,2260,2260,,,,,
20454,Santiago Atitlán,453,405,48,453,453,9,18,287,139,,,2209,2040,169,2209,2209,,,,,
20455,Santiago Ayuquililla,461,377,84,461,461,6,9,24,127,295,,2405,2098,307,2405,2405,,,,,
20456,Santiago Cacaloxtepec,329,280,49,329,329,,,66,,263,,1454,1300,154,1454,1454,,,,,
20457,Santiago Camotlán,553,491,62,553,553,5,44,229,275,,,2786,2565,221,2786,2786,,,,,
20458,Santiago Comaltepec,361,308,53,361,361,32,,118,,211,,1899,1688,211,1899,1899,,,,,
20459,Santiago Chazumba,1155,824,331,1155,1155,50,67,689,,349,,4700,3708,992,4700,4700,,,,,
20460,Santiago Choápam,831,689,142,831,831,1,8,195,413,214,,4209,3677,532,4209,4209,,,,,
20461,Santiago del Río,302,171,131,302,302,7,,103,192,,,1154,731,423,1154,1154,,,,,
20462,Santiago Huajolotitlán,883,719,164,883,883,23,16,288,261,295,,4469,3808,661,4469,4469,,,,,
20463,Santiago Huauclilla,265,186,79,265,265,13,11,241,,,,1065,842,223,1065,1065,,,,,
20464,Santiago Ihuitlán Plumas,168,117,51,168,168,,,168,,,,642,499,143,642,642,,,,,
20465,Santiago Ixcuintepec,236,186,50,236,236,19,17,29,171,,,1051,891,160,1051,1051,,,,,
20466,Santiago Ixtayutla,1357,1188,169,1357,1357,29,57,634,470,167,,8158,7243,915,8158,8158,,,,,
20467,Santiago Jamiltepec,3115,2486,629,3115,1576,52,57,683,784,,,16198,13656,2542,16198,8264,7934,,,,
20468,Santiago Jocotepec,1817,1663,154,1817,1817,16,48,688,426,639,,10524,9806,718,10524,10524,,,,,
20469,Santiago Juxtlahuaca,4798,3921,877,4798,3860,34,69,1427,1066,1264,,26364,22474,3890,26364,21393,4971,,,,
