Área Geográfica,,Estadística de defunciones generales,,,,,,,,,,,,,,,,,,,,,,,
,,Defunciones por homicidio,,,,,,,,,,,,,,,,,,,,,,,
,,Defunciones por homicidio,,,,,,,,,,,,,,,,,,,,,,,
,,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
,,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión,Ent y mun ocurre lesión
Clave,Nombre,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total,Total
12080,Juchitán,2,3,2,2,1,4,3,,5,,,,,,,,,,,,,,,
12081,Iliatenco,2,1,2,3,1,2,,,1,,,,,,,,,,,,,,,
12996,No especificado,21,8,21,7,2,6,4,4,1,2,1,,1,1,3,,3,3,2,6,2,,3,6
12997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
12998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,
13,Hidalgo,190,167,229,137,163,108,82,57,80,94,85,73,123,96,134,167,141,147,173,184,140,161,173,207
13001,Acatlán,4,2,4,,3,1,1,,,1,,,1,,,3,2,4,,,1,1,1,2
13002,Acaxochitlán,2,6,1,1,7,5,2,4,,6,5,1,,,2,1,,3,2,9,2,5,7,3
13003,Actopan,3,3,6,3,5,,,,1,1,1,1,1,1,2,2,2,,,2,,1,4,2
13004,Agua Blanca de Iturbide,2,1,,1,,,2,,1,,2,,1,1,1,1,2,6,4,2,4,3,2,6
13005,Ajacuba,1,,1,,1,1,,,,,,,1,2,3,,,1,,,,1,1,
13006,Alfajayucan,1,1,1,1,3,,,1,1,,,,,3,2,2,,,1,,1,,2,1
13007,Almoloya,,,,,1,1,,,,,,,1,1,,,1,1,1,,,1,,2
13008,Apan,1,2,1,2,2,,,,2,,,1,,2,4,5,1,,2,2,2,,4,5
13009,El Arenal,1,1,,1,,,,,1,,1,,,,,1,,,3,1,2,,,1
13010,Atitalaquia,1,1,2,5,2,1,1,,,2,1,,,,1,3,,1,1,,,,4,
13011,Atlapexco,,1,,2,,,,,2,,,1,,1,1,1,,1,1,,,2,,2
13012,Atotonilco el Grande,3,2,,2,,,1,,,1,1,,2,2,1,,1,,1,2,1,2,1,5
13013,Atotonilco de Tula,6,4,1,3,1,4,,,2,,2,3,1,2,1,3,1,1,,3,3,3,,2
13014,Calnali,,,,1,2,,,,,,,,,,1,1,,1,,,1,3,,1
13015,Cardonal,,,2,2,2,2,,,1,,1,1,2,1,3,3,,3,1,,,,2,
13016,Cuautepec de Hinojosa,8,4,8,,5,7,3,,2,2,3,1,3,4,2,5,4,3,7,4,3,4,3,9
13017,Chapantongo,,,2,,,,,2,,,,,2,2,,,1,1,,1,3,,,
13018,Chapulhuacán,5,1,3,3,5,,5,3,1,2,,1,2,3,4,1,1,2,1,5,1,4,1,2
13019,Chilcuautla,2,,,1,1,1,,,,,1,1,1,,,,2,2,1,,1,,,
13020,Eloxochitlán,2,2,1,,1,,,,,,,,,,1,,,,,,,,,
13021,Emiliano Zapata,3,,,,1,,,,,,,,1,,,,,1,,,1,,,
13022,Epazoyucan,,1,,,,,,,,1,,,,,,1,,,1,,1,1,,1
13023,Francisco I. Madero,2,1,2,,2,,1,,1,,,,,3,1,2,4,1,,,1,,,
13024,Huasca de Ocampo,1,2,1,1,1,,,,1,,,,,,,,,,,4,,1,,1
13025,Huautla,1,,3,,2,,,2,,,1,,2,,3,1,1,2,1,1,3,1,4,1
13026,Huazalingo,1,,,2,,,,,,,,,2,,,,,,1,,,1,,
13027,Huehuetla,1,3,4,3,1,,,,3,1,1,1,3,2,3,4,5,1,1,6,3,4,2,3
13028,Huejutla de Reyes,4,6,11,7,10,3,2,4,5,4,4,3,7,3,3,7,4,4,1,6,2,9,9,7
13029,Huichapan,5,4,5,1,1,,1,1,3,2,1,3,1,1,2,3,3,,2,1,1,1,3,
13030,Ixmiquilpan,5,8,7,7,9,3,4,5,1,3,2,3,8,3,6,3,7,10,7,5,5,1,6,5
13031,Jacala de Ledezma,,2,2,,3,1,,1,1,4,,4,1,1,1,4,1,1,2,4,5,3,13,7
13032,Jaltocán,,,,1,,,,,,,3,,,,,,1,1,,1,,,,1
13033,Juárez Hidalgo,1,1,2,,,,,,,,,,,2,1,,,,1,1,,2,2,
13034,Lolotla,,,2,,,1,,,1,,,,,1,,1,,,1,,,,,
13035,Metepec,,,,,1,2,1,,,,1,,,1,1,2,,4,,1,1,1,1,1
13036,San Agustín Metzquititlán,1,1,4,,1,,,,,,,,,,,1,,1,,1,,1,,2
13037,Metztitlán,1,2,2,,2,,,,1,,1,1,1,,,1,,2,3,2,1,2,2,3
13038,Mineral del Chico,,,2,,,,1,,,,1,,1,,,,,,,,,,,
13039,Mineral del Monte,,1,1,,,,1,,,,,,,,,,,,2,,,,,
13040,La Misión,2,1,1,1,3,2,1,1,2,2,5,2,4,1,6,3,6,4,3,7,6,7,11,6
13041,Mixquiahuala de Juárez,,3,,2,1,2,,2,1,2,,,2,,1,,1,,,2,1,,1,
13042,Molango de Escamilla,2,1,,,,,,,,,,1,,,1,1,,,1,3,4,1,6,
13043,Nicolás Flores,,,,,1,,,,,,,1,,1,,,,,1,,,,,
13044,Nopala de Villagrán,1,2,,4,,,,1,,,,,,1,1,2,,1,2,1,,3,3,3
13045,Omitlán de Juárez,2,1,1,1,1,,1,,,,,,1,,,1,,,1,1,,,,
13046,San Felipe Orizatlán,2,1,3,,,2,1,,,,,1,3,1,4,1,4,1,5,3,1,6,2,6
13047,Pacula,,,,1,,1,,,2,,,1,,1,1,,,,1,1,,,4,1
13048,Pachuca de Soto,15,24,31,14,19,13,8,5,2,3,4,2,16,12,18,13,21,10,13,10,12,10,14,18
13049,Pisaflores,1,1,6,5,1,3,3,1,3,5,1,2,5,2,5,1,1,1,4,2,2,5,1,4
13050,Progreso de Obregón,,,3,2,,,1,1,,,,1,1,2,2,2,,1,2,,1,,,
13051,Mineral de la Reforma,6,3,10,1,4,2,1,,,1,,1,,,,,,,,1,1,1,,1
13052,San Agustín Tlaxiaca,1,,1,,2,,,,,,,,1,,,,2,,1,2,1,1,2,1
13053,San Bartolo Tutotepec,2,5,4,5,3,2,3,2,1,5,4,5,5,1,2,16,9,5,12,20,7,8,9,22
13054,San Salvador,1,1,4,3,,,,,,,,,1,1,,3,1,3,3,,,,,1
13055,Santiago de Anaya,1,1,2,1,,,,,,,1,1,,2,,1,,2,1,2,,,,
13056,Santiago Tulantepec de Lugo Guerrero,7,2,2,1,2,1,3,3,1,4,1,1,2,,2,,,3,5,4,2,3,2,2
13057,Singuilucan,,2,3,,1,1,1,,1,2,2,,1,,,,1,2,2,4,1,1,,1
13058,Tasquillo,,,,,,,,1,1,,,1,,,,1,,,,2,,,,1
13059,Tecozautla,,,2,,2,2,1,1,1,1,3,,,2,2,1,1,2,,1,2,2,,2
13060,Tenango de Doria,1,2,1,1,1,2,,,2,5,1,,1,3,1,2,4,,2,3,1,,,2
13061,Tepeapulco,2,2,4,3,3,1,1,3,1,1,2,1,3,2,2,2,1,4,6,5,4,3,4,3
13062,Tepehuacán de Guerrero,2,2,1,1,1,,2,2,1,2,1,2,4,,,1,1,2,2,,2,2,1,2
13063,Tepeji del Río de Ocampo,6,3,7,3,3,3,2,,4,2,2,2,5,3,4,9,6,7,8,6,3,5,6,5
13064,Tepetitlán,,,,,,,,,,,,,,,,1,,,,,3,,,1
13065,Tetepango,1,,,,1,,,,,,,2,,,,,,,1,1,,,2,1
13066,Villa de Tezontepec,1,3,,,,,,,,,1,,,,,1,1,1,,1,,1,,1
13067,Tezontepec de Aldama,3,2,5,2,1,,1,2,8,2,2,3,1,2,1,2,2,,5,4,3,2,1,1
13068,Tianguistengo,1,1,,,1,,,,,,,,,,2,,2,,3,,,1,2,1
13069,Tizayuca,15,6,10,3,6,4,1,1,1,3,2,1,4,1,4,3,,4,3,,2,,3,
13070,Tlahuelilpan,1,,1,,2,,1,,1,1,,,2,,1,,2,,1,2,1,,,1
13071,Tlahuiltepa,,,,2,1,,1,,,,1,,,,,,,3,,3,1,1,3,3
13072,Tlanalapa,,,,1,,,1,,,,,,3,,1,,,,,,,,2,
13073,Tlanchinol,2,1,2,2,,1,2,2,2,1,1,2,1,1,2,,3,1,3,2,2,2,1,
13074,Tlaxcoapan,1,1,2,1,3,,1,,1,1,2,1,,,,2,,2,3,,1,,,
13075,Tolcayuca,,1,,,,,,,,,,,1,1,,,1,,,1,,,,1
13076,Tula de Allende,16,14,16,5,3,9,3,3,6,10,3,3,3,7,3,12,4,6,,7,3,7,6,7
13077,Tulancingo de Bravo,13,14,15,9,13,17,8,1,4,7,8,5,4,2,11,10,16,15,18,7,17,14,8,13
13078,Xochiatipan,,,1,,,3,1,,,,1,,,,1,,1,3,3,1,,,,2
13079,Xochicoatlán,,,,,,,1,,,,,,,,,,,1,,,,,2,1
13080,Yahualica,3,,,3,1,,,,,,,,,1,1,7,,2,3,3,1,6,2,6
13081,Zacualtipán de Ángeles,3,1,3,2,1,1,2,1,1,,2,1,1,,3,1,2,,2,2,3,3,,4
13082,Zapotlán de Juárez,2,,1,1,1,,,,,1,,,1,,,2,,,,,,1,,
13083,Zempoala,2,1,4,1,2,,1,1,1,,1,,,2,,2,1,1,,1,,1,,4
13084,Zimapán,3,2,1,6,3,3,2,,1,3,1,4,2,2,2,2,,1,4,3,3,6,1,4
13996,No especificado,1,,1,,1,,1,,,,,,,,,,3,1,,2,,,,
13997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
13998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,
14,Jalisco,1495,1527,1501,1009,669,544,430,461,426,401,467,482,471,479,548,556,610,738,782,698,771,752,774,809
14001,Acatic,2,6,8,,1,,2,1,,,1,1,,1,1,,1,1,1,,,,8,
14002,Acatlán de Juárez,3,5,1,,,1,,,1,,2,1,1,1,,1,,,4,4,1,1,,
14003,Ahualulco de Mercado,3,6,3,1,2,1,1,,,2,1,3,1,2,1,1,1,,1,1,2,5,1,1
14004,Amacueca,,1,1,,,2,,,,,,,1,,,1,,,2,,2,1,,1
14005,Amatitán,4,2,2,3,2,1,,2,,,,2,6,1,,,,,3,1,9,3,3,1
14006,Ameca,12,9,4,1,2,3,5,5,4,2,3,9,6,4,6,5,6,4,2,4,6,4,3,7
14007,San Juanito de Escobedo,3,1,,,,,4,,,1,,,2,2,2,,3,4,,4,2,1,,
14008,Arandas,6,10,11,8,3,2,3,5,3,2,3,4,2,7,7,6,5,5,6,1,8,13,7,3
14009,EL Arenal,6,6,3,,5,5,3,2,1,,,1,2,1,1,3,3,,3,1,2,2,,2
14010,Atemajac de Brizuela,1,,,,,,,,,,,,,,,1,1,,,,,,1,1
14011,Atengo,,,2,,,1,,,,,,,2,1,,2,,,1,1,,,1,1
14012,Atenguillo,,,,2,1,1,,,1,,3,,,,,,1,1,,,1,,,
14013,Atotonilco el Alto,8,11,23,20,5,4,1,1,1,,3,4,6,2,,4,2,1,5,2,3,7,6,1
14014,Atoyac,3,,,2,1,2,1,,,2,1,,1,1,3,,,,,,2,3,,1
14015,Autlán de Navarro,7,7,6,5,5,4,3,4,2,9,4,1,2,1,5,2,6,7,5,10,5,3,6,3
14016,Ayotlán,8,18,15,5,5,4,4,,1,2,,2,3,,2,1,,1,3,2,3,3,1,1
14017,Ayutla,2,1,4,,1,,2,,1,2,,,,1,3,5,2,2,,5,3,1,2,2
14018,La Barca,12,10,14,14,10,6,8,2,5,1,,5,2,5,2,,2,2,6,5,2,4,2,2
14019,Bolaños,1,2,2,,3,,,,,,1,1,1,2,3,1,2,3,2,1,1,4,1,
14020,Cabo Corrientes,2,1,5,2,3,2,,1,2,,,4,3,,3,5,2,,2,3,3,4,3,
14021,Casimiro Castillo,2,3,10,3,3,,1,2,1,,3,1,5,4,2,5,1,1,2,2,10,3,3,2
14022,Cihuatlán,26,19,14,7,14,3,4,3,5,5,3,4,2,3,4,4,3,6,4,4,4,11,5,4
14023,Zapotlán el Grande,16,10,12,13,11,13,4,9,9,4,5,4,4,4,7,5,3,3,13,13,6,7,7,1
14024,Cocula,8,1,6,1,2,2,,3,,1,1,3,,3,1,2,1,,2,1,,1,3,1
14025,Colotlán,,1,4,2,6,1,2,1,1,,2,1,,1,,2,,1,1,,,,2,
14026,Concepción de Buenos Aires,,1,2,1,,,,,,,,,,,1,,,1,,2,,,,2
14027,Cuautitlán de García Barragán,11,6,4,4,4,3,7,5,4,1,3,2,3,7,2,4,16,13,7,8,5,6,3,8
14028,Cuautla,1,,,,,,,,,,,2,,,,,,,,,,,,
14029,Cuquío,1,1,1,,1,1,,1,,1,,,2,2,3,,1,2,1,,,2,1,1
14030,Chapala,14,22,12,9,7,4,2,1,2,6,7,6,,4,5,7,2,2,12,3,3,3,7,7
14031,Chimaltitán,3,19,9,,,1,1,1,,1,1,2,1,,,1,1,1,1,1,4,2,,2
14032,Chiquilistlán,2,1,,2,,,,,,1,,,,1,,,,1,,1,1,,,2
14033,Degollado,2,1,8,2,1,1,,1,3,,,,,1,1,1,5,,,1,,3,4,
14034,Ejutla,,2,1,,,,,,,,1,,,1,,,,1,1,,,,,
14035,Encarnación de Díaz,6,6,3,2,1,2,,2,4,3,2,2,2,1,,3,1,1,2,1,2,3,3,2
14036,Etzatlán,1,6,,2,1,1,2,3,,1,1,3,2,3,6,5,5,5,5,4,,,1,2
14037,El Grullo,5,5,5,3,4,3,,3,1,3,2,2,1,4,3,3,4,3,3,,5,5,3,1
14038,Guachinango,,,1,1,1,,,1,,,,,,,,2,,,1,1,,,,
14039,Guadalajara,383,361,369,253,147,133,79,86,97,116,130,124,123,137,145,154,172,242,244,204,279,246,324,346
14040,Hostotipaquillo,4,1,,1,2,,1,,1,,1,2,,2,4,,1,4,2,1,4,4,3,4
14041,Huejúcar,1,,,,,,,,,,,,,,1,1,,,,,2,,1,2
14042,Huejuquilla el Alto,5,2,,,4,,4,1,1,,4,2,3,2,2,2,1,,3,1,1,4,3,
14043,La Huerta,3,9,6,17,10,4,2,4,3,6,3,9,1,5,6,3,7,6,9,14,11,16,8,5
14044,Ixtlahuacán de los Membrillos,4,9,5,4,4,,1,3,2,3,1,2,1,1,1,1,,,5,1,,3,5,1
14045,Ixtlahuacán del Río,1,1,2,3,2,2,,1,2,2,1,2,2,,,4,2,1,2,5,2,4,,5
14046,Jalostotitlán,1,4,5,1,1,3,1,1,3,1,,1,1,1,1,2,2,1,4,3,2,2,4,
14047,Jamay,3,3,2,,2,1,1,1,1,,1,1,2,1,,,2,1,3,,2,8,,
14048,Jesús María,,3,1,1,2,3,1,,,1,,,2,,,,,,2,1,1,,,1
14049,Jilotlán de los Dolores,9,3,,1,5,,1,1,1,1,5,2,4,3,6,4,7,6,6,6,4,3,4,3
14050,Jocotepec,8,14,12,3,1,6,1,,1,6,2,2,,4,4,4,1,6,4,,1,3,2,4
14051,Juanacatlán,2,4,2,1,,,1,,,1,,,,,,2,,,,1,1,1,,1
14052,Juchitlán,,1,,1,,,,,,,,,,,1,1,,,2,,,,1,
14053,Lagos de Moreno,15,18,26,16,10,3,4,7,7,7,7,6,10,4,6,7,6,5,2,8,7,9,5,10
14054,El Limón,,1,,,,,1,1,,1,1,,,1,,,2,1,1,2,2,,,
14055,Magdalena,3,6,7,5,6,,,,2,,5,4,7,3,3,5,2,1,3,4,2,4,3,4
14056,Santa María del Oro,2,3,5,1,1,,3,,,2,,,,,1,,2,2,1,2,5,1,1,
14057,La Manzanilla de la Paz,1,2,,,,,,1,1,1,,2,,,1,,,,,,,,1,
14058,Mascota,2,2,1,5,2,1,1,2,1,,1,1,,1,6,,3,1,2,3,4,,2,5
14059,Mazamitla,4,1,9,2,,,2,2,5,2,,2,3,,,2,1,,1,5,,3,1,3
14060,Mexticacán,,,1,1,,,,,3,,,,1,1,,,,,,1,1,,,
14061,Mezquitic,2,2,5,1,2,4,3,2,3,2,1,4,,,3,2,,6,3,3,5,1,1,
14062,Mixtlán,,,1,,,1,,,,,,,,,,3,2,,,1,1,1,3,
14063,Ocotlán,38,36,35,15,18,5,6,9,4,2,6,3,6,5,5,13,12,3,3,8,11,18,2,11
14064,Ojuelos de Jalisco,2,1,4,,5,1,1,,,,,,1,2,,1,1,3,1,,1,3,,
14065,Pihuamo,4,4,4,1,5,2,5,3,4,4,3,4,5,1,8,4,,12,4,10,5,17,10,6
14066,Poncitlán,5,5,8,2,2,4,1,3,3,6,3,3,4,,6,6,2,2,9,,1,3,1,1
14067,Puerto Vallarta,48,55,55,44,29,39,17,13,17,15,18,12,20,20,7,13,16,24,24,22,14,27,15,17
14068,Villa Purificación,,1,2,1,2,2,1,10,,1,3,4,1,2,5,2,2,6,3,5,8,7,5,7
14069,Quitupan,5,7,5,2,1,2,2,1,2,,3,,1,2,1,,,1,8,,5,,4,1
14070,El Salto,44,25,34,27,11,10,12,9,7,8,8,5,5,6,6,7,16,16,18,9,9,4,10,3
14071,San Cristóbal de la Barranca,,,,,,1,,3,1,,1,,,,1,,,1,,1,,,,1
14072,San Diego de Alejandría,,,1,1,,,,,,,,,,,,,1,,1,2,2,1,1,1
14073,San Juan de los Lagos,6,2,4,2,,,2,5,7,1,2,4,3,,4,1,2,,2,3,2,5,4,
14074,San Julián,1,,1,,,1,,2,,1,,3,,1,,,,,,5,2,2,4,
14075,San Marcos,,1,1,,,,,,,,,1,,,1,1,4,,1,,,,1,
14076,San Martín de Bolaños,4,7,1,1,1,,1,2,,,,,,,2,1,,,,,,,11,1
14077,San Martín Hidalgo,3,3,2,,1,2,2,7,1,1,,,1,,,3,,2,2,2,,,2,3
14078,San Miguel el Alto,10,9,2,4,1,2,2,2,1,2,,2,4,2,1,4,2,3,2,,3,4,3,1
14079,Gómez Farías,3,3,1,4,,,,1,1,,2,,1,1,1,1,,1,,1,,1,,
14080,San Sebastián del Oeste,,1,4,7,4,,1,,,,,,,3,3,1,1,3,,4,,1,5,1
14081,Santa María de los Ángeles,,,,1,,,,1,,,1,1,,,,1,,2,1,,,,,2
14082,Sayula,7,16,6,6,5,3,1,5,2,1,3,2,,1,1,3,2,3,5,,1,2,3,7
14083,Tala,24,18,6,4,4,3,2,4,1,1,3,2,4,1,5,2,5,2,5,5,6,,1,7
14084,Talpa de Allende,1,7,4,6,4,5,3,5,1,1,5,1,2,2,,3,4,9,5,6,6,5,3,4
14085,Tamazula de Gordiano,4,13,12,4,5,2,5,4,7,2,9,4,6,5,3,3,13,8,10,6,10,13,10,5
14086,Tapalpa,8,1,4,4,1,2,,,,,2,2,,1,,1,,,4,1,,1,,2
14087,Tecalitlán,1,8,5,14,3,9,2,5,3,8,3,5,1,5,8,4,8,7,1,3,4,10,3,6
14088,Tecolotlán,6,7,8,5,,,1,,2,1,,2,,5,2,1,1,2,1,3,2,3,,2
14089,Techaluta de Montenegro,1,2,,1,,,,,1,,,,1,1,,,,,,,,,,2
14090,Tenamaxtlán,1,4,4,1,,,,,1,,,,1,1,,,,1,,3,,2,,
14091,Teocaltiche,5,2,1,,3,1,4,2,1,,1,,1,4,5,1,5,1,3,,2,2,,3
14092,Teocuitatlán de Corona,1,4,,1,2,,,3,1,,3,,1,,2,,2,2,,4,,2,1,1
14093,Tepatitlán de Morelos,16,16,12,6,,3,3,4,6,4,3,7,2,2,8,9,10,4,8,12,5,5,2,2
14094,Tequila,14,14,7,8,22,5,4,10,2,4,4,12,16,6,7,8,12,6,1,11,17,9,16,12
14095,Teuchitlán,3,2,3,2,,,,,,,,,,2,,,,1,,,1,,,1
14096,Tizapán el Alto,6,10,12,5,8,4,1,1,2,,2,5,2,2,1,2,3,2,2,4,,1,2,4
14097,Tlajomulco de Zúñiga,77,65,58,40,31,22,14,11,10,9,4,9,10,10,6,6,15,17,9,8,8,8,16,4
14098,Tlaquepaque,115,127,120,95,37,46,35,44,36,31,43,45,27,31,60,34,47,42,65,54,46,34,38,50
14099,Tolimán,,,1,1,,,2,,,,,,1,,1,1,1,4,4,3,1,2,,
14100,Tomatlán,12,17,11,9,5,5,11,7,6,6,9,1,8,7,8,7,19,5,20,5,12,8,6,8
14101,Tonalá,67,83,51,43,36,21,38,24,28,17,14,19,19,18,13,29,17,23,34,32,24,25,12,21
14102,Tonaya,2,7,3,1,,,1,,,,,,1,2,,,1,1,,1,1,,,1
14103,Tonila,5,1,1,,,,,,,1,1,,,,,1,,,2,,2,,,
14104,Totatiche,,,,,1,,1,4,1,1,,1,,,2,2,,,1,1,2,,,
14105,Tototlán,3,5,21,3,1,3,4,1,1,1,1,1,4,1,4,1,3,2,1,1,,,2,4
14106,Tuxcacuesco,1,1,1,,,,,,,,1,,,,4,,,2,,1,2,,,1
14107,Tuxcueca,1,3,4,1,1,,,1,1,,,1,,,,,1,1,,1,,,,1
14108,Tuxpan,4,7,12,5,1,2,1,2,3,,1,3,1,5,4,3,1,4,2,4,8,2,3,4
14109,Unión de San Antonio,1,1,2,1,,1,1,2,,1,,,,,1,,,1,,1,1,,1,
14110,Unión de Tula,1,2,4,2,,,,1,,,,1,,,,,3,2,3,,2,,3,1
14111,Valle de Guadalupe,1,1,1,,,,,,1,,,,1,,1,,,,,,,,,4
14112,Valle de Juárez,,3,,,,1,,,,2,,,2,,1,,1,,,1,1,2,1,2
14113,San Gabriel,3,6,5,2,1,2,,,,,,,,,,1,2,,3,1,,2,1,
14114,Villa Corona,,3,2,2,1,1,1,4,1,1,,1,1,1,1,,1,,2,1,,,1,2
14115,Villa Guerrero,,2,3,5,,1,2,3,,,,,,1,,,,1,2,1,,1,1,
14116,Villa Hidalgo,1,1,,,,,,,,,,,1,,2,,,1,,1,,,,
14117,Cañadas de Obregón,3,,,,,,,,2,,,1,,,,1,,,,,,,,
14118,Yahualica de González Gallo,4,1,4,3,4,1,2,1,,2,2,1,4,1,4,3,2,3,1,1,1,4,3,2
14119,Zacoalco de Torres,6,3,2,1,,2,3,1,1,1,,1,,,,3,,5,2,2,3,,3,
14120,Zapopan,257,237,273,156,102,84,62,64,63,57,77,69,68,73,67,82,76,132,94,89,92,85,88,115
14121,Zapotiltic,2,2,5,5,2,,4,1,2,4,4,2,2,2,4,,2,3,,1,1,,4,1
14122,Zapotitlán de Vadillo,1,2,4,1,1,1,,,,,,,2,4,,1,,,4,2,1,,3,1
14123,Zapotlán del Rey,1,1,,1,,4,1,1,,,2,,,2,3,1,,1,,,,1,,
14124,Zapotlanejo,14,7,6,15,,2,1,2,3,1,3,5,7,1,4,5,1,6,8,3,13,7,4,15
14125,San Ignacio Cerro Gordo,4,,,1,1,,,,,,,,,,,,,,,,,,,
14996,No especificado,4,5,4,5,1,2,,1,3,1,1,1,,,,,,,1,,1,5,6,2
14997,Otros estados,,,,,,,,,,,,,,,,,,,,,,,,
14998,Otros municipios,,,,,,,,,,,,,,,,,,,,,,,,
15,México,3335,2989,2684,2261,2002,1659,1338,1797,2127,1836,2030,2049,2029,2142,2237,2495,2575,2848,2832,3196,3371,3412,3471,3479
15001,Acambay de Ruíz Castañeda,8,8,9,11,5,5,5,4,8,5,6,3,2,10,11,10,10,6,10,11,11,15,32,23
15002,Acolman,27,15,11,16,10,14,8,8,7,10,7,5,15,9,16,17,13,15,13,10,9,12,22,10
15003,Aculco,6,7,2,2,2,4,3,2,10,8,1,5,6,8,5,14,14,10,15,25,10,25,15,21
15004,Almoloya de Alquisiras,9,5,2,2,3,1,,3,2,1,2,2,3,4,4,6,4,5,4,9,12,5,12,1
15005,Almoloya de Juárez,12,17,13,17,18,18,15,31,23,14,23,20,27,23,31,29,28,32,33,33,69,28,39,34
15006,Almoloya del Río,2,,3,,,1,,2,,2,1,1,1,1,2,4,1,,,2,1,2,3,2
15007,Amanalco,5,5,4,6,1,2,3,2,4,4,1,4,,2,3,4,7,3,9,6,8,6,10,11
15008,Amatepec,7,7,6,4,1,6,7,11,10,5,15,8,6,3,11,8,11,23,21,14,17,32,18,40
15009,Amecameca,12,8,8,11,6,5,,7,10,1,5,12,10,12,13,12,12,8,9,11,10,10,18,34
15010,Apaxco,5,5,5,1,3,2,4,1,2,1,1,2,2,,1,3,,2,1,1,2,3,1,4
15011,Atenco,12,8,4,6,5,5,5,3,6,6,11,5,5,4,4,7,3,7,2,1,7,3,10,3
15012,Atizapán,,4,3,1,1,1,1,1,1,3,2,1,2,3,1,1,4,2,6,4,4,4,11,9
15013,Atizapán de Zaragoza,82,49,52,49,44,32,27,26,62,43,59,65,54,73,80,87,73,98,90,103,78,93,85,85
15014,Atlacomulco,7,4,5,6,4,7,3,1,3,4,5,7,7,8,14,6,12,6,4,8,6,17,12,9
15015,Atlautla,4,4,4,2,2,6,,7,3,1,4,3,3,2,3,2,2,5,4,8,7,10,4,7
15016,Axapusco,1,2,5,3,4,2,1,,1,,,1,1,1,2,3,,4,4,7,7,1,2,2
15017,Ayapango,5,1,2,,,,1,,,,1,,4,1,,3,2,1,2,3,,3,1,
15018,Calimaya,5,5,5,,3,5,1,3,5,3,4,9,2,11,8,8,9,5,4,9,9,10,14,3
15019,Capulhuac,6,2,5,1,2,3,5,5,5,3,3,3,4,4,6,9,6,5,5,6,7,10,7,16
15020,Coacalco de Berriozábal,52,50,39,39,38,33,13,15,30,21,23,20,20,27,24,33,29,31,28,33,31,38,45,27
15021,Coatepec Harinas,8,11,13,4,8,2,6,9,5,3,9,4,5,7,4,11,8,6,9,14,10,21,17,17
15022,Cocotitlán,3,3,6,,,2,,3,1,1,,2,3,,1,1,6,2,3,4,1,5,3,1
15023,Coyotepec,14,10,13,12,6,10,4,6,9,7,4,10,7,7,3,13,9,10,11,11,7,10,18,11
15024,Cuautitlán,17,12,9,18,8,6,9,12,8,20,8,11,14,18,12,20,25,12,22,24,25,33,54,39
15025,Chalco,85,92,66,40,42,20,25,34,38,39,31,31,32,40,41,35,32,41,53,131,103,106,110,101
15026,Chapa de Mota,5,1,2,3,3,1,4,4,3,,3,4,1,4,5,9,5,6,2,5,2,2,2,4
15027,Chapultepec,1,,1,3,,,,1,2,,,,,1,,,1,1,1,,,1,3,11
15028,Chiautla,3,5,4,7,5,2,3,2,1,1,3,1,1,3,5,1,2,1,2,2,1,5,3,4
15029,Chicoloapan,38,37,24,23,21,21,15,21,19,14,26,16,29,16,14,18,12,17,28,17,17,25,20,40
15030,Chiconcuac,4,3,2,3,3,3,2,2,2,1,2,3,5,1,5,4,,3,4,3,2,,3,3
15031,Chimalhuacán,167,142,98,111,84,61,56,80,77,70,84,89,125,111,121,106,130,153,126,105,101,136,112,108
15032,Donato Guerra,5,11,5,3,8,3,4,4,3,5,4,1,4,1,9,11,10,14,13,7,10,14,11,16
15033,Ecatepec de Morelos,447,466,476,378,307,247,165,191,273,238,278,267,246,269,261,307,298,325,328,396,396,404,344,363
15034,Ecatzingo,,1,1,2,2,,2,,3,,3,5,,,,3,1,3,2,2,4,1,,2
15035,Huehuetoca,26,24,13,6,10,12,3,10,6,5,4,7,8,9,5,9,7,9,7,13,10,15,7,12
15036,Hueypoxtla,4,1,4,2,1,4,2,2,1,2,6,1,5,2,2,6,3,3,3,4,3,1,1,
