Area Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,
,,Población ocupada de 12 y más,,,,,,,,
,,Población ocupada de 12 años y más (Personas),,,,,,,,
,,Disciplina académica,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Medicina,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
17003,Axochiapan,6536,15,6536,1458,5078,,,,
17004,Ayala,14295,26,14295,3813,10482,,,,
17005,Coatlán del Río,2036,4,2036,2036,,,,,
17006,Cuautla,36721,322,36721,2813,,,33908,,
17007,Cuernavaca,96051,1139,96051,559,,,95492,,
17008,Emiliano Zapata,9498,45,9498,862,3432,5204,,,
17009,Huitzilac,2965,8,2965,986,1979,,,,
17010,Jantetelco,2458,10,2458,896,1562,,,,
17011,Jiutepec,30953,158,30953,1876,3471,25606,,,
17012,Jojutla,14075,81,14075,826,6737,6512,,,
17013,Jonacatepec,2973,12,2973,569,2404,,,,
17014,Mazatepec,1750,7,1750,837,913,,,,
17015,Miacatlán,4579,4,4579,1065,3514,,,,
17016,Ocuituco,3295,4,3295,1384,1911,,,,
17017,Puente de Ixtla,11388,40,11388,909,5271,5208,,,
17018,Temixco,18638,45,18638,610,,18028,,,
17019,Tepalcingo,4730,5,4730,932,3798,,,,
17020,Tepoztlán,7831,63,7831,1903,5928,,,,
17021,Tetecala,1686,2,1686,375,1311,,,,
17022,Tetela del Volcán,3405,4,3405,376,3029,,,,
17023,Tlalnepantla,1057,1,1057,335,722,,,,
17024,Tlaltizapán de Zapata,10031,20,10031,3314,6717,,,,
17025,Tlaquiltenango,7432,24,7432,2652,,4780,,,
17026,Tlayacapan,2598,11,2598,1110,1488,,,,
17027,Totolapan,1437,2,1437,517,920,,,,
17028,Xochitepec,8252,34,8252,1277,6975,,,,
17029,Yautepec,16951,76,16951,2029,6588,8334,,,
17030,Yecapixtla,6585,13,6585,1940,4645,,,,
17031,Zacatepec,9008,61,9008,426,2091,6491,,,
17032,Zacualpan,1561,6,1561,7,1554,,,,
17033,Temoac,2287,1,2287,184,2103,,,,
17996,No especificado,,,,,,,,,
17997,Otros estados,,,,,,,,,
17998,Otros municipios,,,,,,,,,
18,Nayarit,233000,1419,233000,82378,55256,31589,63777,,
18001,Acaponeta,9867,39,9867,4451,798,4618,,,
18002,Ahuacatlán,4207,16,4207,2514,1693,,,,
18003,Amatlán de Cañas,3220,12,3220,2389,831,,,,
18004,Compostela,16442,65,16442,6084,6258,4100,,,
18005,Huajicori,2067,6,2067,2067,,,,,
18006,Ixtlán del Río,6701,34,6701,1109,,5592,,,
18007,Jala,3614,8,3614,1356,2258,,,,
18008,Xalisco,7513,20,7513,2565,4948,,,,
18009,Del Nayar,3237,15,3237,3237,,,,,
18010,Rosamorada,9826,19,9826,6125,3701,,,,
18011,Ruíz,5953,19,5953,2435,3518,,,,
18012,San Blas,14148,41,14148,7429,6719,,,,
18013,San Pedro Lagunillas,2083,2,2083,1164,919,,,,
18014,Santa María del Oro,4188,9,4188,3463,725,,,,
18015,Santiago Ixcuintla,29943,92,29943,15239,8812,5892,,,
18016,Tecuala,11552,54,11552,4954,2444,4154,,,
18017,Tepic,73597,879,73597,8232,1588,,63777,,
18018,Tuxpan,10298,45,10298,1136,1929,7233,,,
18019,La Yesca,2385,4,2385,2385,,,,,
18020,Bahía de Banderas,12159,40,12159,4044,8115,,,,
18996,No especificado,,,,,,,,,
18997,Otros estados,,,,,,,,,
18998,Otros municipios,,,,,,,,,
19,Nuevo León,1009584,9319,1009584,71842,44211,86580,445521,361430,
19001,Abasolo,413,,413,413,,,,,
19002,Agualeguas,1462,6,1462,706,756,,,,
19003,Los Aldamas,884,2,884,884,,,,,
19004,Allende,6761,28,6761,1597,,5164,,,
19005,Anáhuac,5306,16,5306,1284,4022,,,,
19006,Apodaca,36628,78,36628,2362,2129,,32137,,
19007,Aramberri,3981,6,3981,3345,636,,,,
19008,Bustamante,922,2,922,76,846,,,,
19009,Cadereyta Jiménez,16602,112,16602,5980,,10622,,,
19010,Carmen,1599,3,1599,224,1375,,,,
19011,Cerralvo,2196,12,2196,286,1910,,,,
19012,Ciénega de Flores,2267,5,2267,333,1934,,,,
19013,China,3262,16,3262,1080,2182,,,,
19014,Dr. Arroyo,9484,9,9484,8033,1451,,,,
19015,Dr. Coss,678,,678,678,,,,,
19016,Dr. González,750,1,750,750,,,,,
19017,Galeana,11611,14,11611,10053,1558,,,,
19018,García,4065,12,4065,1075,2990,,,,
19019,San Pedro Garza García,40567,749,40567,6,,,40561,,
19020,Gral. Bravo,1454,8,1454,489,965,,,,
19021,Gral. Escobedo,30224,82,30224,402,,29822,,,
19022,Gral. Terán,4841,9,4841,3057,1784,,,,
19023,Gral. Treviño,641,,641,641,,,,,
19024,Gral. Zaragoza,1535,7,1535,1535,,,,,
19025,Gral. Zuazua,1672,2,1672,345,1327,,,,
19026,Guadalupe,176762,1294,176762,75,,,176687,,
19027,Los Herreras,838,4,838,838,,,,,
19028,Higueras,341,1,341,341,,,,,
19029,Hualahuises,1699,4,1699,376,1323,,,,
19030,Iturbide,1076,3,1076,1076,,,,,
19031,Juárez,8447,13,8447,1243,7204,,,,
19032,Lampazos de Naranjo,1667,2,1667,393,1274,,,,
19033,Linares,18181,73,18181,5171,,13010,,,
19034,Marín,996,1,996,261,735,,,,
19035,Melchor Ocampo,539,2,539,539,,,,,
19036,Mier y Noriega,1637,2,1637,1637,,,,,
19037,Mina,1455,,1455,597,858,,,,
19038,Montemorelos,14551,91,14551,4066,,10485,,,
19039,Monterrey,361520,4771,361520,90,,,,361430,
19040,Parás,304,1,304,304,,,,,
19041,Pesquería,2736,1,2736,1702,1034,,,,
19042,Los Ramones,1745,4,1745,1745,,,,,
19043,Rayones,958,3,958,958,,,,,
19044,Sabinas Hidalgo,9368,51,9368,465,,8903,,,
19045,Salinas Victoria,3237,8,3237,1643,1594,,,,
19046,San Nicolás de los Garza,143371,1584,143371,,,,143371,,
19047,Hidalgo,3570,15,3570,58,3512,,,,
19048,Santa Catarina,53162,173,53162,397,,,52765,,
19049,Santiago,9666,34,9666,1092,,8574,,,
19050,Vallecillo,729,1,729,729,,,,,
19051,Villaldama,1224,4,1224,412,812,,,,
19996,No especificado,,,,,,,,,
19997,Otros estados,,,,,,,,,
19998,Otros municipios,,,,,,,,,
20,Oaxaca,754305,2849,754305,427095,149275,111325,66610,,
20001,Abejones,330,,330,330,,,,,
20002,Acatlán de Pérez Figueroa,11508,12,11508,6754,4754,,,,
20003,Asunción Cacalotepec,494,,494,494,,,,,
20004,Asunción Cuyotepeji,79,,79,79,,,,,
20005,Asunción Ixtaltepec,3818,9,3818,1759,2059,,,,
20006,Asunción Nochixtlán,2448,12,2448,976,1472,,,,
20007,Asunción Ocotlán,857,,857,,857,,,,
20008,Asunción Tlacolulita,262,,262,262,,,,,
20009,Ayotzintepec,1060,1,1060,416,644,,,,
20010,El Barrio de la Soledad,3019,22,3019,2028,991,,,,
20011,Calihualá,262,,262,262,,,,,
20012,Candelaria Loxicha,2076,4,2076,2076,,,,,
20013,Ciénega de Zimatlán,766,2,766,,766,,,,
20014,Ciudad Ixtepec,5831,30,5831,156,,5675,,,
20015,Coatecas Altas,1177,,1177,1177,,,,,
20016,Coicoyán de las Flores,1277,,1277,1277,,,,,
20017,La Compañía,1033,,1033,1033,,,,,
20018,Concepción Buenavista,323,,323,323,,,,,
20019,Concepción Pápalo,894,1,894,894,,,,,
20020,Constancia del Rosario,521,3,521,521,,,,,
20021,Cosolapa,3882,8,3882,1956,1926,,,,
20022,Cosoltepec,178,1,178,178,,,,,
20023,Cuilápam de Guerrero,2438,3,2438,268,2170,,,,
20024,Cuyamecalco Villa de Zaragoza,1120,1,1120,1120,,,,,
20025,Chahuites,2472,5,2472,72,2400,,,,
20026,Chalcatongo de Hidalgo,1630,3,1630,1630,,,,,
20027,Chiquihuitlán de Benito Juárez,679,,679,679,,,,,
20028,Heroica Ciudad de Ejutla de Crespo,4441,12,4441,2642,1799,,,,
20029,Eloxochitlán de Flores Magón,1093,,1093,1093,,,,,
20030,El Espinal,2165,14,2165,164,2001,,,,
20031,Tamazulápam del Espíritu Santo,1656,1,1656,1656,,,,,
20032,Fresnillo de Trujano,117,,117,117,,,,,
20033,Guadalupe Etla,548,3,548,548,,,,,
20034,Guadalupe de Ramírez,262,3,262,262,,,,,
20035,Guelatao de Juárez,105,1,105,105,,,,,
20036,Guevea de Humboldt,1202,,1202,1202,,,,,
20037,Mesones Hidalgo,755,1,755,755,,,,,
20038,Villa Hidalgo,509,,509,509,,,,,
20039,Heroica Ciudad de Huajuapan de León,9810,54,9810,1473,,8337,,,
20040,Huautepec,1451,,1451,1451,,,,,
20041,Huautla de Jiménez,6566,10,6566,3661,2905,,,,
20042,Ixtlán de Juárez,1531,3,1531,1531,,,,,
20043,Heroica Ciudad de Juchitán de Zaragoza,18039,77,18039,1629,1413,14997,,,
20044,Loma Bonita,11611,32,11611,3006,,8605,,,
20045,Magdalena Apasco,887,4,887,887,,,,,
20046,Magdalena Jaltepec,860,1,860,860,,,,,
20047,Santa Magdalena Jicotlán,31,,31,31,,,,,
20048,Magdalena Mixtepec,108,,108,108,,,,,
20049,Magdalena Ocotlán,229,,229,229,,,,,
20050,Magdalena Peñasco,898,,898,898,,,,,
20051,Magdalena Teitipac,837,,837,,837,,,,
20052,Magdalena Tequisistlán,1492,3,1492,489,1003,,,,
20053,Magdalena Tlacotepec,306,1,306,306,,,,,
20054,Magdalena Zahuatlán,67,,67,67,,,,,
20055,Mariscala de Juárez,475,4,475,475,,,,,
20056,Mártires de Tacubaya,336,,336,336,,,,,
20057,Matías Romero Avendaño,9932,38,9932,3042,1501,5389,,,
20058,Mazatlán Villa de Flores,3506,,3506,3506,,,,,
20059,Miahuatlán de Porfirio Díaz,6705,19,6705,3545,3160,,,,
20060,Mixistlán de la Reforma,534,,534,534,,,,,
20061,Monjas,495,,495,495,,,,,
20062,Natividad,378,3,378,378,,,,,
20063,Nazareno Etla,828,2,828,,828,,,,
20064,Nejapa de Madero,2278,2,2278,2278,,,,,
20065,Ixpantepec Nieves,117,,117,117,,,,,
20066,Santiago Niltepec,1361,6,1361,523,838,,,,
20067,Oaxaca de Juárez,66848,1163,66848,238,,,66610,,
20068,Ocotlán de Morelos,4161,21,4161,1319,2842,,,,
20069,La Pe,506,,506,506,,,,,
20070,Pinotepa de Don Luis,1392,,1392,198,1194,,,,
20071,Pluma Hidalgo,1220,4,1220,1220,,,,,
20072,San José del Progreso,1287,,1287,1287,,,,,
20073,Putla Villa de Guerrero,5284,18,5284,3416,1868,,,,
20074,Santa Catarina Quioquitani,180,,180,180,,,,,
20075,Reforma de Pineda,684,1,684,,684,,,,
20076,La Reforma,668,1,668,668,,,,,
20077,Reyes Etla,670,3,670,670,,,,,
20078,Rojas de Cuauhtémoc,375,,375,375,,,,,
20079,Salina Cruz,18757,175,18757,1007,,17750,,,
20080,San Agustín Amatengo,615,1,615,615,,,,,
20081,San Agustín Atenango,437,,437,437,,,,,
20082,San Agustín Chayuco,925,,925,925,,,,,
20083,San Agustín de las Juntas,664,2,664,,664,,,,
20084,San Agustín Etla,708,4,708,,708,,,,
20085,San Agustín Loxicha,4427,3,4427,3838,589,,,,
20086,San Agustín Tlacotepec,107,,107,107,,,,,
20087,San Agustín Yatareni,717,4,717,,717,,,,
20088,San Andrés Cabecera Nueva,623,,623,623,,,,,
20089,San Andrés Dinicuiti,318,,318,318,,,,,
20090,San Andrés Huaxpaltepec,1142,,1142,383,759,,,,
20091,San Andrés Huayápam,658,10,658,658,,,,,
20092,San Andrés Ixtlahuaca,365,,365,365,,,,,
20093,San Andrés Lagunas,191,,191,191,,,,,
20094,San Andrés Nuxiño,436,,436,436,,,,,
20095,San Andrés Paxtlán,660,,660,660,,,,,
20096,San Andrés Sinaxtla,168,1,168,168,,,,,
20097,San Andrés Solaga,513,1,513,513,,,,,
20098,San Andrés Teotilálpam,949,1,949,949,,,,,
20099,San Andrés Tepetlapa,50,,50,50,,,,,
20100,San Andrés Yaá,129,1,129,129,,,,,
20101,San Andrés Zabache,218,,218,218,,,,,
20102,San Andrés Zautla,643,2,643,643,,,,,
20103,San Antonino Castillo Velasco,1443,5,1443,17,1426,,,,
20104,San Antonino el Alto,479,1,479,479,,,,,
20105,San Antonino Monte Verde,974,,974,974,,,,,
20106,San Antonio Acutla,45,,45,45,,,,,
20107,San Antonio de la Cal,1996,9,1996,,1996,,,,
20108,San Antonio Huitepec,1131,,1131,1131,,,,,
20109,San Antonio Nanahuatípam,306,,306,306,,,,,
20110,San Antonio Sinicahua,415,,415,415,,,,,
20111,San Antonio Tepetlapa,720,,720,720,,,,,
20112,San Baltazar Chichicápam,835,,835,,835,,,,
20113,San Baltazar Loxicha,617,,617,617,,,,,
20114,San Baltazar Yatzachi el Bajo,143,,143,143,,,,,
20115,San Bartolo Coyotepec,1097,2,1097,1097,,,,,
20116,San Bartolomé Ayautla,773,,773,773,,,,,
20117,San Bartolomé Loxicha,638,,638,638,,,,,
20118,San Bartolomé Quialana,375,,375,,375,,,,
20119,San Bartolomé Yucuañe,117,,117,117,,,,,
20120,San Bartolomé Zoogocho,130,,130,130,,,,,
20121,San Bartolo Soyaltepec,216,,216,216,,,,,
20122,San Bartolo Yautepec,220,,220,220,,,,,
20123,San Bernardo Mixtepec,489,,489,489,,,,,
20124,San Blas Atempa,3167,7,3167,831,2336,,,,
20125,San Carlos Yautepec,2264,,2264,2264,,,,,
20126,San Cristóbal Amatlán,1213,,1213,196,1017,,,,
20127,San Cristóbal Amoltepec,202,,202,202,,,,,
20128,San Cristóbal Lachirioag,404,,404,404,,,,,
20129,San Cristóbal Suchixtlahuaca,81,,81,81,,,,,
20130,San Dionisio del Mar,1099,,1099,391,708,,,,
20131,San Dionisio Ocotepec,1919,,1919,401,1518,,,,
20132,San Dionisio Ocotlán,289,1,289,289,,,,,
20133,San Esteban Atatlahuca,756,,756,756,,,,,
20134,San Felipe Jalapa de Díaz,3672,2,3672,1985,1687,,,,
20135,San Felipe Tejalápam,1334,,1334,1334,,,,,
20136,San Felipe Usila,2444,,2444,1463,981,,,,
20137,San Francisco Cahuacuá,599,,599,599,,,,,
20138,San Francisco Cajonos,156,,156,156,,,,,
20139,San Francisco Chapulapa,489,,489,489,,,,,
20140,San Francisco Chindúa,136,,136,136,,,,,
20141,San Francisco del Mar,1114,2,1114,413,701,,,,
20142,San Francisco Huehuetlán,406,,406,406,,,,,
20143,San Francisco Ixhuatán,2138,10,2138,941,1197,,,,
20144,San Francisco Jaltepetongo,315,,315,315,,,,,
20145,San Francisco Lachigoló,327,,327,327,,,,,
20146,San Francisco Logueche,94,,94,94,,,,,
20147,San Francisco Nuxaño,120,,120,120,,,,,
20148,San Francisco Ozolotepec,429,,429,429,,,,,
20149,San Francisco Sola,234,,234,234,,,,,
20150,San Francisco Telixtlahuaca,1810,7,1810,229,1581,,,,
20151,San Francisco Teopan,157,,157,157,,,,,
20152,San Francisco Tlapancingo,349,,349,349,,,,,
20153,San Gabriel Mixtepec,743,1,743,743,,,,,
20154,San Ildefonso Amatlán,433,,433,433,,,,,
20155,San Ildefonso Sola,122,,122,122,,,,,
20156,San Ildefonso Villa Alta,781,3,781,781,,,,,
20157,San Jacinto Amilpas,661,2,661,661,,,,,
20158,San Jacinto Tlacotepec,362,,362,362,,,,,
20159,San Jerónimo Coatlán,1017,,1017,1017,,,,,
20160,San Jerónimo Silacayoapilla,412,,412,412,,,,,
20161,San Jerónimo Sosola,798,,798,798,,,,,
20162,San Jerónimo Taviche,297,,297,297,,,,,
20163,San Jerónimo Tecóatl,410,,410,410,,,,,
20164,San Jorge Nuchita,428,,428,428,,,,,
20165,San José Ayuquila,364,1,364,364,,,,,
20166,San José Chiltepec,2320,3,2320,1681,639,,,,
20167,San José del Peñasco,367,1,367,367,,,,,
20168,San José Estancia Grande,177,,177,177,,,,,
20169,San José Independencia,940,,940,940,,,,,
20170,San José Lachiguiri,771,,771,771,,,,,
20171,San José Tenango,5307,,5307,5307,,,,,
20172,San Juan Achiutla,94,1,94,94,,,,,
20173,San Juan Atepec,429,,429,429,,,,,
20174,Ánimas Trujano,623,2,623,623,,,,,
20175,San Juan Bautista Atatlahuca,423,1,423,423,,,,,
20176,San Juan Bautista Coixtlahuaca,788,,788,788,,,,,
20177,San Juan Bautista Cuicatlán,2512,7,2512,1492,1020,,,,
20178,San Juan Bautista Guelache,891,3,891,891,,,,,
20179,San Juan Bautista Jayacatlán,430,,430,430,,,,,
20180,San Juan Bautista Lo de Soto,706,2,706,706,,,,,
20181,San Juan Bautista Suchitepec,149,1,149,149,,,,,
20182,San Juan Bautista Tlacoatzintepec,542,,542,542,,,,,
20183,San Juan Bautista Tlachichilco,131,,131,131,,,,,
20184,San Juan Bautista Tuxtepec,32855,177,32855,11895,1001,19959,,,
20185,San Juan Cacahuatepec,1697,1,1697,933,764,,,,
20186,San Juan Cieneguilla,74,,74,74,,,,,
20187,San Juan Coatzóspam,665,,665,665,,,,,
20188,San Juan Colorado,2111,1,2111,775,1336,,,,
20189,San Juan Comaltepec,414,,414,414,,,,,
20190,San Juan Cotzocón,5566,6,5566,4956,610,,,,
20191,San Juan Chicomezúchil,85,,85,85,,,,,
20192,San Juan Chilateca,436,1,436,436,,,,,
20193,San Juan del Estado,405,3,405,405,,,,,
20194,San Juan del Río,410,,410,410,,,,,
20195,San Juan Diuxi,387,,387,387,,,,,
20196,San Juan Evangelista Analco,118,,118,118,,,,,
20197,San Juan Guelavía,639,1,639,,639,,,,
20198,San Juan Guichicovi,6525,2,6525,5528,997,,,,
20199,San Juan Ihualtepec,115,,115,115,,,,,
20200,San Juan Juquila Mixes,958,,958,958,,,,,
20201,San Juan Juquila Vijanos,480,,480,480,,,,,
20202,San Juan Lachao,831,2,831,831,,,,,
20203,San Juan Lachigalla,685,,685,685,,,,,
20204,San Juan Lajarcia,176,,176,176,,,,,
20205,San Juan Lalana,3117,1,3117,3117,,,,,
20206,San Juan de los Cués,725,,725,725,,,,,
20207,San Juan Mazatlán,3575,1,3575,3575,,,,,
20208,San Juan Mixtepec -Dto. 08 -,2720,,2720,2720,,,,,
20209,San Juan Mixtepec -Dto. 26 -,232,,232,232,,,,,
20210,San Juan Ñumí,1044,,1044,1044,,,,,
20211,San Juan Ozolotepec,750,,750,750,,,,,
20212,San Juan Petlapa,663,,663,663,,,,,
20213,San Juan Quiahije,624,,624,624,,,,,
20214,San Juan Quiotepec,487,,487,487,,,,,
20215,San Juan Sayultepec,177,,177,177,,,,,
20216,San Juan Tabaá,302,1,302,302,,,,,
20217,San Juan Tamazola,827,,827,827,,,,,
20218,San Juan Teita,136,,136,136,,,,,
20219,San Juan Teitipac,716,1,716,,716,,,,
20220,San Juan Tepeuxila,996,1,996,996,,,,,
20221,San Juan Teposcolula,393,,393,393,,,,,
20222,San Juan Yaeé,572,,572,572,,,,,
20223,San Juan Yatzona,127,,127,127,,,,,
20224,San Juan Yucuita,139,,139,139,,,,,
20225,San Lorenzo,1119,,1119,1119,,,,,
20226,San Lorenzo Albarradas,851,,851,851,,,,,
20227,San Lorenzo Cacaotepec,1893,7,1893,706,1187,,,,
20228,San Lorenzo Cuaunecuiltitla,173,,173,173,,,,,
20229,San Lorenzo Texmelúcan,858,,858,858,,,,,
20230,San Lorenzo Victoria,337,1,337,337,,,,,
20231,San Lucas Camotlán,742,,742,742,,,,,
20232,San Lucas Ojitlán,3832,8,3832,2667,1165,,,,
20233,San Lucas Quiaviní,562,,562,562,,,,,
20234,San Lucas Zoquiápam,2055,1,2055,2055,,,,,
20235,San Luis Amatlán,852,1,852,852,,,,,
20236,San Marcial Ozolotepec,360,,360,360,,,,,
20237,San Marcos Arteaga,368,1,368,368,,,,,
20238,San Martín de los Cansecos,228,,228,228,,,,,
20239,San Martín Huamelúlpam,208,,208,208,,,,,
20240,San Martín Itunyoso,266,,266,266,,,,,
20241,San Martín Lachilá,328,,328,328,,,,,
20242,San Martín Peras,1193,,1193,1193,,,,,
20243,San Martín Tilcajete,459,,459,459,,,,,
20244,San Martín Toxpalan,818,,818,818,,,,,
20245,San Martín Zacatepec,285,1,285,285,,,,,
20246,San Mateo Cajonos,186,,186,186,,,,,
20247,Capulálpam de Méndez,331,1,331,331,,,,,
20248,San Mateo del Mar,2185,1,2185,1030,1155,,,,
20249,San Mateo Yoloxochitlán,791,,791,791,,,,,
20250,San Mateo Etlatongo,278,,278,278,,,,,
20251,San Mateo Nejápam,48,,48,48,,,,,
20252,San Mateo Peñasco,269,,269,269,,,,,
20253,San Mateo Piñas,1286,1,1286,1286,,,,,
20254,San Mateo Río Hondo,989,,989,989,,,,,
20255,San Mateo Sindihui,383,,383,383,,,,,
20256,San Mateo Tlapiltepec,42,,42,42,,,,,
20257,San Melchor Betaza,358,,358,358,,,,,
20258,San Miguel Achiutla,290,,290,290,,,,,
20259,San Miguel Ahuehuetitlán,196,,196,196,,,,,
20260,San Miguel Aloápam,185,,185,185,,,,,
20261,San Miguel Amatitlán,891,,891,891,,,,,
20262,San Miguel Amatlán,370,,370,370,,,,,
20263,San Miguel Coatlán,592,,592,592,,,,,
20264,San Miguel Chicahua,403,,403,403,,,,,
20265,San Miguel Chimalapa,1484,1,1484,1484,,,,,
20266,San Miguel del Puerto,1603,1,1603,1603,,,,,
20267,San Miguel del Río,112,,112,112,,,,,
20268,San Miguel Ejutla,151,,151,151,,,,,
20269,San Miguel el Grande,717,2,717,717,,,,,
20270,San Miguel Huautla,250,,250,250,,,,,
20271,San Miguel Mixtepec,594,,594,594,,,,,
20272,San Miguel Panixtlahuaca,844,,844,212,632,,,,
20273,San Miguel Peras,706,1,706,706,,,,,
20274,San Miguel Piedras,304,,304,304,,,,,
20275,San Miguel Quetzaltepec,1204,,1204,527,677,,,,
20276,San Miguel Santa Flor,317,1,317,317,,,,,
20277,Villa Sola de Vega,1877,3,1877,1877,,,,,
20278,San Miguel Soyaltepec,7352,5,7352,5989,1363,,,,
20279,San Miguel Suchixtepec,601,,601,601,,,,,
20280,Villa Talea de Castro,839,1,839,839,,,,,
20281,San Miguel Tecomatlán,44,,44,44,,,,,
20282,San Miguel Tenango,241,,241,241,,,,,
20283,San Miguel Tequixtepec,203,,203,203,,,,,
20284,San Miguel Tilquiápam,824,,824,12,812,,,,
20285,San Miguel Tlacamama,592,1,592,592,,,,,
20286,San Miguel Tlacotepec,557,3,557,557,,,,,
20287,San Miguel Tulancingo,150,,150,150,,,,,
20288,San Miguel Yotao,205,,205,205,,,,,
20289,San Nicolás,382,,382,382,,,,,
20290,San Nicolás Hidalgo,269,,269,269,,,,,
20291,San Pablo Coatlán,812,,812,812,,,,,
20292,San Pablo Cuatro Venados,293,,293,293,,,,,
20293,San Pablo Etla,1253,5,1253,1253,,,,,
20294,San Pablo Huitzo,1129,8,1129,103,1026,,,,
20295,San Pablo Huixtepec,1961,7,1961,7,1954,,,,
20296,San Pablo Macuiltianguis,292,,292,292,,,,,
20297,San Pablo Tijaltepec,361,,361,361,,,,,
20298,San Pablo Villa de Mitla,2948,10,2948,1054,1894,,,,
20299,San Pablo Yaganiza,323,,323,323,,,,,
20300,San Pedro Amuzgos,1184,3,1184,402,782,,,,
20301,San Pedro Apóstol,349,2,349,349,,,,,
20302,San Pedro Atoyac,625,2,625,625,,,,,
20303,San Pedro Cajonos,309,,309,309,,,,,
20304,San Pedro Coxcaltepec Cántaros,271,,271,271,,,,,
20305,San Pedro Comitancillo,789,5,789,9,780,,,,
20306,San Pedro el Alto,764,,764,764,,,,,
20307,San Pedro Huamelula,1718,1,1718,1718,,,,,
20308,San Pedro Huilotepec,539,,539,539,,,,,
20309,San Pedro Ixcatlán,2195,3,2195,1594,601,,,,
20310,San Pedro Ixtlahuaca,730,,730,730,,,,,
20311,San Pedro Jaltepetongo,89,,89,89,,,,,
20312,San Pedro Jicayán,2012,,2012,1159,853,,,,
20313,San Pedro Jocotipac,320,1,320,320,,,,,
20314,San Pedro Juchatengo,155,1,155,155,,,,,
20315,San Pedro Mártir,247,,247,247,,,,,
20316,San Pedro Mártir Quiechapa,187,,187,187,,,,,
20317,San Pedro Mártir Yucuxaco,322,,322,322,,,,,
20318,San Pedro Mixtepec -Dto. 22 -,5597,24,5597,1276,4321,,,,
20319,San Pedro Mixtepec -Dto. 26 -,229,,229,229,,,,,
20320,San Pedro Molinos,134,,134,134,,,,,
20321,San Pedro Nopala,276,1,276,276,,,,,
20322,San Pedro Ocopetatillo,218,,218,218,,,,,
20323,San Pedro Ocotepec,410,,410,410,,,,,
20324,San Pedro Pochutla,6207,15,6207,3915,2292,,,,
20325,San Pedro Quiatoni,1928,1,1928,1928,,,,,
20326,San Pedro Sochiápam,937,,937,937,,,,,
20327,San Pedro Tapanatepec,2770,6,2770,1454,1316,,,,
20328,San Pedro Taviche,56,,56,56,,,,,
20329,San Pedro Teozacoalco,212,,212,212,,,,,
20330,San Pedro Teutila,1005,,1005,1005,,,,,
20331,San Pedro Tidaá,244,,244,244,,,,,
20332,San Pedro Topiltepec,148,1,148,148,,,,,
20333,San Pedro Totolápam,809,,809,809,,,,,
20334,Villa de Tututepec de Melchor Ocampo,9012,18,9012,5173,3839,,,,
20335,San Pedro Yaneri,259,,259,259,,,,,
20336,San Pedro Yólox,406,1,406,406,,,,,
20337,San Pedro y San Pablo Ayutla,1407,1,1407,1407,,,,,
20338,Villa de Etla,1580,8,1580,234,1346,,,,
20339,San Pedro y San Pablo Teposcolula,858,1,858,858,,,,,
20340,San Pedro y San Pablo Tequixtepec,568,2,568,568,,,,,
20341,San Pedro Yucunama,75,,75,75,,,,,
20342,San Raymundo Jalpan,351,,351,351,,,,,
20343,San Sebastián Abasolo,372,2,372,372,,,,,
20344,San Sebastián Coatlán,575,,575,575,,,,,
20345,San Sebastián Ixcapa,849,1,849,849,,,,,
20346,San Sebastián Nicananduta,489,,489,489,,,,,
20347,San Sebastián Río Hondo,675,,675,675,,,,,
20348,San Sebastián Tecomaxtlahuaca,1639,1,1639,1639,,,,,
20349,San Sebastián Teitipac,472,,472,472,,,,,
20350,San Sebastián Tutla,1414,26,1414,1414,,,,,
20351,San Simón Almolongas,573,,573,573,,,,,
20352,San Simón Zahuatlán,467,,467,467,,,,,
20353,Santa Ana,445,,445,445,,,,,
20354,Santa Ana Ateixtlahuaca,156,,156,156,,,,,
20355,Santa Ana Cuauhtémoc,268,,268,268,,,,,
20356,Santa Ana del Valle,577,,577,577,,,,,
20357,Santa Ana Tavela,327,,327,327,,,,,
20358,Santa Ana Tlapacoyan,598,,598,598,,,,,
20359,Santa Ana Yareni,2,,2,2,,,,,
20360,Santa Ana Zegache,709,,709,172,537,,,,
20361,Santa Catalina Quierí,312,,312,312,,,,,
20362,Santa Catarina Cuixtla,476,2,476,476,,,,,
20363,Santa Catarina Ixtepeji,618,,618,618,,,,,
20364,Santa Catarina Juquila,2982,2,2982,2148,834,,,,
20365,Santa Catarina Lachatao,434,,434,434,,,,,
20366,Santa Catarina Loxicha,972,1,972,972,,,,,
20367,Santa Catarina Mechoacán,888,,888,6,882,,,,
20368,Santa Catarina Minas,416,1,416,416,,,,,
20369,Santa Catarina Quiané,380,,380,380,,,,,
20370,Santa Catarina Tayata,153,1,153,153,,,,,
20371,Santa Catarina Ticuá,138,,138,138,,,,,
20372,Santa Catarina Yosonotú,391,,391,391,,,,,
20373,Santa Catarina Zapoquila,150,,150,150,,,,,
20374,Santa Cruz Acatepec,300,,300,300,,,,,
20375,Santa Cruz Amilpas,1442,13,1442,12,1430,,,,
20376,Santa Cruz de Bravo,44,1,44,44,,,,,
