Población total (con información hasta localidad),,,,,,,,,,,,,,,,,,,,,,,,
Sexo : Hombres,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Edad quinquenal,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
 20 319 ,San Pedro Mixtepec -Distr. 26-,"1,383",171,184,210,142,104,94,61,80,67,71,40,41,38,36,20,9,6,7,,,,2
 20 320 ,San Pedro Molinos,624,76,86,92,53,28,23,24,28,29,24,40,39,17,16,23,8,12,4,2,,,
 20 321 ,San Pedro Nopala,"1,116",136,202,221,111,62,50,37,37,36,52,43,49,27,24,8,9,5,4,1,,,2
 20 322 ,San Pedro Ocopetatillo,900,109,128,129,76,68,53,52,38,42,48,42,39,29,21,13,5,4,3,,1,,
 20 323 ,San Pedro Ocotepec,"1,681",263,252,230,164,141,111,84,97,74,85,44,42,24,10,25,12,13,4,1,2,,3
 20 324 ,San Pedro Pochutla,"25,701","3,814","3,896","3,554","2,898","2,340","1,942","1,483","1,311","1,018",869,680,554,453,316,220,130,93,71,22,8,11,18
 20 325 ,San Pedro Quiatoni,"8,421","1,312","1,406","1,061",885,727,555,492,407,364,295,248,219,176,147,56,24,17,11,7,1,4,7
 20 326 ,San Pedro Sochiapam,"3,877",698,652,539,308,309,222,209,188,164,127,88,102,81,60,52,25,27,11,4,3,4,4
 20 327 ,San Pedro Tapanatepec,"10,520","1,300","1,539","1,495","1,121",809,683,634,598,488,427,369,295,243,170,136,88,50,30,21,4,7,13
 20 328 ,San Pedro Taviche,851,154,138,111,81,80,52,41,39,27,32,25,17,19,17,7,2,2,3,2,,,2
 20 329 ,San Pedro Teozacoalco,"1,400",199,218,205,145,72,72,48,59,52,71,60,56,44,26,17,22,12,13,3,2,,4
 20 330 ,San Pedro Teutila,"3,579",563,554,498,349,256,237,185,193,139,147,102,101,75,52,42,34,20,15,6,2,4,5
 20 331 ,San Pedro Tidaá,"1,002",116,146,163,97,34,42,35,58,37,58,41,55,33,35,25,18,6,1,1,,,1
 20 332 ,San Pedro Topiltepec,527,41,56,66,54,37,18,28,12,23,22,22,29,24,30,15,18,17,9,2,3,,1
 20 333 ,San Pedro Totolapa,"3,084",367,435,436,374,291,181,167,153,125,133,112,74,65,49,41,29,23,16,4,3,1,5
 20 334 ,San Pedro Tututepec,"35,376","5,301","5,784","5,259","3,911","3,037","2,341","1,955","1,858","1,351","1,195",949,671,655,349,336,156,133,51,25,17,13,29
 20 335 ,San Pedro Yaneri,926,115,160,110,86,62,59,60,65,43,31,20,35,26,30,5,10,4,1,,,,4
 20 336 ,San Pedro Yólox,"2,904",441,504,428,280,197,184,143,160,78,117,98,88,70,46,37,17,10,4,1,,1,
 20 337 ,San Pedro y San Pablo Ayutla,"5,386",697,803,809,531,358,338,266,297,225,267,173,142,133,88,93,53,54,15,20,10,10,4
 20 338 ,Villa de Etla,"6,077",742,846,899,728,543,427,331,312,244,224,151,161,133,123,82,55,32,32,9,3,,
 20 339 ,San Pedro y San Pablo Teposcolula,"3,694",437,503,489,372,286,210,207,175,135,137,124,131,125,95,69,72,62,41,16,5,1,2
 20 340 ,San Pedro y San Pablo Tequixtepec,"2,850",327,403,431,236,129,109,136,98,112,121,138,106,126,97,77,71,73,41,12,5,,2
 20 341 ,San Pedro Yucunama,236,19,24,29,36,15,11,11,3,8,4,9,17,12,9,4,9,7,7,2,,,
 20 342 ,San Raymundo Jalpan,"1,429",149,189,204,174,125,108,84,70,57,66,46,41,35,23,25,22,7,2,1,,,1
 20 343 ,San Sebastián Abasolo,"2,030",261,308,305,204,126,116,124,99,69,72,80,82,59,42,34,21,7,14,3,4,,
 20 344 ,San Sebastián Coatlán,"2,329",341,379,364,207,159,163,146,131,99,74,76,64,40,38,21,15,5,3,3,,,1
 20 345 ,San Sebastián Ixcapa,"3,944",592,668,696,386,246,184,161,221,152,151,121,72,92,60,40,35,34,7,11,2,2,11
 20 346 ,San Sebastián Nicananduta,"1,751",190,268,297,183,124,94,100,81,65,48,38,60,61,47,39,27,17,7,1,3,1,
 20 347 ,San Sebastián Río Hondo,"2,678",391,409,374,285,225,171,155,148,121,116,93,50,50,35,29,11,5,5,,3,1,1
 20 348 ,San Sebastián Tecomaxtlahuaca,"8,528","1,328","1,407","1,288",783,520,424,388,360,298,276,275,254,244,200,154,118,95,40,31,11,17,17
 20 349 ,San Sebastián Teitipac,"2,175",316,336,323,220,142,133,89,92,71,93,87,93,53,45,37,17,13,6,1,4,1,3
 20 350 ,San Sebastián Tutla,"4,231",550,508,425,435,417,479,384,304,151,129,121,93,72,45,33,32,30,15,4,3,,1
 20 351 ,San Simón Almolongas,"2,615",384,407,398,251,198,187,111,142,98,121,76,74,55,28,30,26,16,7,3,1,,2
 20 352 ,San Simón Zahuatlán,"1,646",335,259,176,169,149,106,99,88,60,65,45,41,20,15,9,7,3,,,,,
 20 353 ,Santa Ana,"1,682",243,278,262,182,144,103,97,81,51,55,42,58,22,27,15,12,7,2,,,,1
 20 354 ,Santa Ana Ateixtlahuaca,551,70,87,61,38,39,27,28,33,26,37,25,16,31,18,5,,6,1,2,,1,
 20 355 ,Santa Ana Cuauhtémoc,941,117,133,106,84,65,63,42,48,38,52,47,38,38,28,16,12,8,4,1,,,1
 20 356 ,Santa Ana del Valle,"2,220",295,322,359,210,166,118,102,101,85,102,78,89,70,36,27,19,18,18,1,2,,2
 20 357 ,Santa Ana Tavela,"1,351",162,204,193,110,96,77,57,70,67,55,65,53,47,38,23,16,11,5,2,,,
 20 358 ,Santa Ana Tlapacoyan,"3,078",344,421,445,347,225,184,146,148,122,138,112,116,78,78,63,50,37,9,11,2,1,1
 20 359 ,Santa Ana Yareni,"1,234",153,181,196,115,69,71,56,48,60,33,52,66,54,36,18,13,3,4,4,1,,1
 20 360 ,Santa Ana Zegache,"3,332",438,506,496,399,232,151,156,173,145,137,134,115,72,65,45,30,22,5,4,2,,5
 20 361 ,Santa Catalina Quieri,"1,239",170,214,161,132,96,77,60,63,47,45,40,44,40,27,11,5,5,1,,,,1
 20 362 ,Santa Catarina Cuixtla,"1,948",205,261,304,154,97,91,87,116,87,89,88,100,87,65,48,31,17,15,1,2,,3
 20 363 ,Santa Catarina Ixtepeji,"2,315",286,271,296,261,208,152,126,104,89,93,74,97,82,81,38,15,29,6,1,1,,5
 20 364 ,Santa Catarina Juquila,"11,315","1,757","1,785","1,686","1,227",981,799,555,536,435,358,305,272,200,146,107,57,58,15,12,10,4,10
 20 365 ,Santa Catarina Lachatao,"1,702",239,252,217,148,124,103,101,76,69,64,47,60,58,49,33,20,18,19,,3,,2
 20 366 ,Santa Catarina Loxicha,"4,575",731,822,756,407,329,281,269,235,133,160,150,96,71,67,26,20,5,5,4,1,,7
 20 367 ,Santa Catarina Mechoacán,"3,674",510,652,573,369,256,253,234,209,158,149,91,59,78,21,28,9,16,4,4,1,,
 20 368 ,Santa Catarina Minas,"1,514",200,220,193,159,94,98,68,72,73,72,58,57,40,38,26,15,18,9,4,,,
 20 369 ,Santa Catarina Quiané,"1,660",210,256,218,204,131,101,95,82,59,66,70,47,34,25,16,20,11,12,2,1,,
 20 370 ,Santa Catarina Tayata,748,75,124,89,76,47,41,26,30,25,26,23,28,35,32,25,19,12,8,4,1,1,1
 20 371 ,Santa Catarina Ticuá,931,94,150,146,66,30,23,40,31,47,48,44,42,54,26,40,22,17,5,5,,,1
 20 372 ,Santa Catarina Yosonotú,"2,244",237,384,357,211,143,122,105,107,115,122,79,62,74,33,37,21,22,6,2,2,2,1
 20 373 ,Santa Catarina Zapoquila,806,104,110,140,80,33,28,32,28,38,35,30,27,24,26,21,18,17,6,7,1,,1
 20 374 ,Santa Cruz Acatepec,"1,116",148,159,156,98,81,72,66,58,45,56,46,34,33,17,21,10,7,4,2,,1,2
 20 375 ,Santa Cruz Amilpas,"4,204",756,527,374,380,460,622,372,245,133,107,61,43,26,34,29,15,6,5,,,,9
 20 376 ,Santa Cruz de Bravo,567,50,86,115,64,37,18,19,17,25,32,19,16,24,9,16,9,3,6,,2,,
 20 377 ,Santa Cruz Itundujia,"9,668","1,695","1,699","1,471",880,585,491,465,413,377,350,305,274,249,165,99,75,38,20,7,2,2,6
 20 378 ,Santa Cruz Mixtepec,"3,542",474,556,503,400,268,198,179,160,128,157,118,102,85,73,62,37,29,11,,,,2
 20 379 ,Santa Cruz Nundaco,"2,609",380,440,429,237,195,118,130,116,100,123,98,86,49,54,21,13,6,5,5,,2,2
 20 380 ,Santa Cruz Papalutla,"1,735",233,221,223,184,137,84,108,79,67,67,70,58,57,54,40,25,11,13,2,1,,1
 20 381 ,Santa Cruz Tacache de Mina,"2,801",405,492,491,262,141,137,112,116,97,94,97,95,100,51,47,21,25,6,8,2,1,1
 20 382 ,Santa Cruz Tacahua,"1,198",140,163,156,112,88,66,70,66,53,80,39,52,32,33,20,9,10,5,2,2,,
 20 383 ,Santa Cruz Tayata,530,71,70,54,47,42,35,22,24,18,24,18,20,11,22,11,21,12,7,1,,,
 20 384 ,Santa Cruz Xitla,"3,587",466,617,538,365,272,213,229,170,138,120,131,88,85,46,50,33,14,2,,,,10
 20 385 ,Santa Cruz Xoxocotlan,"30,762","3,696","4,066","3,921","3,869","3,027","2,416","2,121","1,893","1,336","1,142",807,650,518,409,262,169,128,80,32,17,4,199
 20 386 ,Santa Cruz Zenzontepec,"11,576","1,921","1,914","1,618","1,159",940,893,631,532,443,414,330,232,224,127,85,36,28,18,10,1,6,14
 20 387 ,Santa Gertrudis,"3,934",436,512,539,512,281,258,232,167,137,176,154,131,118,90,65,49,30,16,9,1,,21
 20 388 ,Santa Inés del Monte,"2,018",387,376,295,187,127,124,105,89,72,71,52,52,23,26,13,10,3,2,2,1,,1
 20 389 ,Santa Inés Yatzeche,"1,325",178,225,224,156,103,63,61,83,58,34,41,26,33,16,14,6,1,1,,,,2
 20 390 ,Santa Lucía del Camino,"29,122","3,356","3,459","3,415","3,731","3,242","2,636","2,182","1,745","1,259","1,020",843,722,512,369,227,166,107,79,23,8,6,15
 20 391 ,Santa Lucía Miahuatlán,"2,481",372,443,366,243,180,163,124,165,99,97,79,44,45,23,10,4,10,10,1,2,1,
 20 392 ,Santa Lucía Monteverde,"7,170","1,142","1,303","1,133",619,408,374,372,375,303,286,223,178,156,109,80,36,40,12,7,7,2,5
 20 393 ,Santa Lucía Ocotlán,"2,877",340,442,413,342,260,191,153,160,103,98,89,74,71,54,40,13,15,9,4,6,,
 20 394 ,Santa María Alotepec,"2,474",321,337,317,223,189,157,144,157,98,123,97,81,81,37,34,31,27,6,5,1,4,4
 20 395 ,Santa María Apazco,"3,118",436,585,525,237,129,130,140,162,132,173,137,125,74,60,27,22,11,6,4,,,3
 20 396 ,Santa María la Asunción,"3,411",548,529,419,258,214,235,217,223,190,143,108,83,75,45,50,24,26,6,6,3,5,4
 20 397 ,Heroica Ciudad de Tlaxiaco,"22,813","3,290","3,543","3,290","2,535","1,697","1,509","1,316","1,112",845,808,620,501,479,410,307,219,135,104,39,28,15,11
 20 398 ,Ayoquezco de Aldama,"5,931",672,868,853,726,457,357,282,276,247,237,195,198,155,117,73,55,36,20,6,2,2,97
 20 399 ,Santa María Atzompa,"5,781",702,770,758,666,546,434,361,322,248,226,173,143,133,112,79,54,23,18,8,3,1,1
 20 400 ,Santa María Camotlán,"1,710",199,235,273,180,91,81,72,75,67,76,60,47,64,58,42,29,27,24,7,2,1,
 20 401 ,Santa María Colotepec,"12,899","2,173","2,097","1,746","1,574","1,359",983,714,596,413,393,237,187,153,114,55,31,27,16,9,5,2,15
 20 402 ,Santa María Cortijo,951,148,155,166,119,74,69,34,48,32,30,27,14,12,6,10,1,3,2,,,,1
 20 403 ,Santa María Coyotepec,877,94,88,94,109,76,81,54,59,41,33,39,29,19,19,15,6,13,7,,1,,
 20 404 ,Santa María Chachoapam,859,79,114,119,81,53,43,40,46,39,35,22,44,22,28,30,27,18,11,4,3,,1
 20 405 ,Santa María Chilapa de Diaz,"2,039",258,311,310,191,117,104,93,88,76,71,70,82,72,61,38,26,25,33,5,3,1,4
 20 406 ,Santa María Chilchotla,"19,108","2,892","3,229","2,816","1,831","1,295","1,239","1,105","1,100",858,739,524,348,396,207,167,93,113,41,53,19,20,23
 20 407 ,Santa María Chimalapa,"5,733","1,050",990,795,572,456,384,311,299,190,184,175,109,103,40,34,13,16,3,1,1,,7
 20 408 ,Santa María del Rosario,445,55,72,53,52,26,23,25,22,19,12,15,16,11,15,11,7,8,2,,1,,
 20 409 ,Santa María del Tule,"6,398",770,938,726,623,480,570,752,477,258,185,123,143,93,88,60,39,33,26,5,2,,7
 20 410 ,Santa María Ecatepec,"3,658",513,549,533,299,242,198,199,160,150,168,124,127,121,94,73,52,36,15,3,2,,
 20 411 ,Santa María Guelacé,656,63,83,86,70,52,40,47,36,21,28,33,24,21,18,6,12,9,6,,,,1
 20 412 ,Santa María Guienagati,"2,198",349,384,340,217,180,149,111,82,84,81,53,52,45,34,15,8,6,4,1,,,3
 20 413 ,Santa María Huatulco,"12,645","1,913","1,776","1,570","1,349","1,456","1,201",854,672,450,405,300,225,179,90,74,47,23,28,8,4,,21
 20 414 ,Santa María Huazolotitlán,"9,432","1,197","1,556","1,552","1,065",744,587,508,503,409,398,258,150,195,102,77,38,44,10,19,7,4,9
 20 415 ,Santa María Ipalapa,"4,727",785,959,798,454,267,263,185,231,161,173,100,100,87,56,40,22,20,8,7,5,2,4
 20 416 ,Santa María Ixcatlán,719,78,115,99,53,51,29,25,24,27,45,34,35,24,22,17,14,18,4,2,1,1,1
 20 417 ,Santa María Jacatepec,"8,111","1,230","1,331","1,180",859,657,564,412,439,328,317,208,158,134,69,84,54,34,28,16,3,2,4
 20 418 ,Santa María Jalapa del Marqués,"9,959","1,235","1,414","1,446","1,224",749,608,618,464,456,386,369,254,234,192,127,83,53,25,11,3,6,2
 20 419 ,Santa María Jaltianguis,750,85,102,100,87,55,39,31,32,29,38,36,30,24,24,12,16,7,2,,,,1
 20 420 ,Santa María Lachixío,"1,074",170,178,168,122,82,73,57,64,38,36,23,18,20,10,8,3,1,1,,,,2
 20 421 ,Santa María Mixtequilla,"3,629",472,500,475,399,286,247,223,194,139,123,132,102,116,74,44,47,31,17,3,3,1,1
 20 422 ,Santa María Natívitas,865,101,123,112,76,51,29,22,41,22,38,28,45,46,45,25,17,24,14,4,2,,
 20 423 ,Santa María Nduayaco,756,49,82,95,83,47,36,26,30,29,37,36,35,30,37,32,31,23,11,3,2,,2
 20 424 ,Santa María Ozolotepec,"3,833",570,632,545,402,294,214,204,208,170,121,122,113,94,58,36,23,13,9,1,3,,1
 20 425 ,Santa María Pápalo,"1,801",299,276,253,112,121,98,110,88,101,86,68,56,43,39,28,12,8,1,,,,2
 20 426 ,Santa María Peñoles,"6,354",981,"1,073",965,600,437,333,299,283,234,250,219,200,153,127,83,57,36,15,3,3,1,2
 20 427 ,Santa María Petapa,"10,743","1,460","1,580","1,479","1,120",870,732,564,595,479,425,406,286,224,195,114,88,51,20,14,4,4,33
 20 428 ,Santa María Quiegolani,"1,539",278,255,235,118,100,119,70,75,52,46,49,51,51,22,8,3,3,3,,,1,
 20 429 ,Santa María Sola,"1,863",247,295,281,184,127,93,100,86,71,67,68,62,65,35,24,22,20,7,6,1,,2
 20 430 ,Santa María Tataltepec,494,38,46,43,48,47,52,32,21,16,26,18,28,24,17,13,8,7,7,,2,,1
 20 431 ,Santa María Tecomavaca,"1,698",217,211,225,201,168,122,81,78,69,62,65,52,42,36,29,8,13,11,3,1,,4
 20 432 ,Santa María Temaxcalapa,885,110,132,127,101,70,44,34,43,35,52,35,18,35,20,12,6,5,,3,,,3
 20 433 ,Santa María Temaxcaltepec,"1,495",239,243,198,138,121,126,88,79,54,47,36,42,45,14,11,8,4,,,,,2
 20 434 ,Santa María Teopoxco,"4,071",682,724,592,396,308,248,214,225,159,153,105,55,83,32,47,14,12,8,4,6,,4
 20 435 ,Santa María Tepantlali,"2,318",352,435,325,205,148,164,150,142,105,52,65,49,46,25,23,10,8,2,4,4,3,1
 20 436 ,Santa María Texcatitlán,"1,096",177,190,134,70,65,64,56,50,31,51,40,46,39,40,15,17,6,1,2,,,2
 20 437 ,Santa María Tlahuitoltepec,"6,979",944,"1,151","1,038",707,484,436,398,355,317,313,224,157,167,109,81,42,27,5,10,4,6,4
 20 438 ,Santa María Tlalixtac,"1,507",228,248,237,120,96,91,87,86,71,75,49,31,28,22,8,10,8,5,2,1,2,2
 20 439 ,Santa María Tonameca,"15,291","2,486","2,566","2,240","1,750","1,262","1,116",757,758,481,442,342,266,243,129,92,51,56,39,10,5,4,196
 20 440 ,Santa María Totolapilla,929,115,161,137,84,63,38,63,64,57,35,31,17,24,19,13,2,3,2,1,,,
 20 441 ,Santa María Xadani,"4,957",749,772,697,550,439,361,309,258,189,143,137,85,113,59,35,35,9,7,2,2,,6
 20 442 ,Santa María Yalina,403,47,42,48,30,22,24,17,18,14,17,14,28,20,21,19,8,9,1,1,3,,
 20 443 ,Santa María Yavesía,702,71,76,74,69,54,50,39,32,30,41,33,24,26,31,19,14,10,4,1,3,,1
 20 444 ,Santa María Yolotepec,531,73,110,97,33,23,30,21,24,12,22,19,22,13,14,4,10,2,2,,,,
 20 445 ,Santa María Yosoyúa,"1,180",197,169,167,100,86,68,71,64,52,56,28,30,28,19,17,11,7,2,1,4,3,
 20 446 ,Santa María Yucuhiti,"6,850","1,002","1,243","1,124",505,400,382,351,313,265,292,223,208,172,122,91,82,35,22,5,3,1,9
 20 447 ,Santa María Zacatepec,"14,533","2,569","2,588","2,182","1,428","1,110",826,686,667,523,451,389,278,255,147,139,69,93,46,19,11,4,53
 20 448 ,Santa María Zaniza,"1,038",157,168,129,111,76,71,62,70,52,36,34,14,20,13,10,9,2,,1,,2,1
 20 449 ,Santa María Zoquitlán,"4,272",622,635,618,458,341,247,257,206,164,144,145,108,110,66,56,50,18,16,4,1,,6
 20 450 ,Santiago Amoltepec,"7,540","1,333","1,380","1,126",712,552,444,426,369,287,249,161,127,140,68,46,27,44,8,11,6,7,17
 20 451 ,Santiago Apoala,"1,613",207,257,207,129,93,75,61,67,67,93,76,88,69,57,33,17,9,3,2,3,,
 20 452 ,Santiago Apóstol,"4,513",568,742,647,458,312,249,208,222,175,199,174,126,99,128,95,50,27,20,6,,,8
 20 453 ,Santiago Astata,"2,275",241,296,350,270,163,134,117,119,95,104,121,77,69,64,28,11,9,6,1,,,
 20 454 ,Santiago Atitlán,"2,270",350,354,315,221,183,146,105,136,94,106,77,42,55,18,15,14,18,8,10,1,1,1
 20 455 ,Santiago Ayuquililla,"2,405",341,392,396,249,143,105,120,106,77,85,79,77,56,49,42,37,25,16,5,3,2,
 20 456 ,Santiago Cacaloxtepec,"1,454",200,256,210,81,84,95,84,68,41,59,63,50,56,36,31,13,20,4,3,,,
 20 457 ,Santiago Camotlán,"2,854",480,458,369,298,260,196,149,140,98,83,76,77,51,34,6,17,9,5,2,4,1,41
 20 458 ,Santiago Comaltepec,"1,972",267,322,288,197,100,116,97,107,68,93,68,74,62,29,29,26,15,10,1,3,,
 20 459 ,Santiago Chazumba,"4,717",509,669,671,371,234,185,210,208,182,242,233,194,180,167,131,123,105,65,16,9,1,12
 20 460 ,Santiago Choapam,"4,287",639,753,587,393,338,255,238,236,179,181,127,104,75,65,46,22,22,15,4,3,2,3
 20 461 ,Santiago del Río,"1,154",178,177,190,81,46,48,28,40,45,31,40,55,55,40,39,20,24,6,6,3,1,1
 20 462 ,Santiago Huajolotitlán,"4,469",581,663,732,488,348,253,210,212,161,164,133,116,117,82,70,47,36,37,13,4,2,
 20 463 ,Santiago Huauclilla,"1,065",112,137,118,122,57,46,41,45,37,42,59,60,51,43,19,28,24,17,3,1,,3
 20 464 ,Santiago Ihuitlán Plumas,648,86,91,87,54,36,21,37,22,13,33,24,28,22,22,22,18,15,12,4,1,,
 20 465 ,Santiago Ixcuintepec,"1,059",161,187,149,99,76,74,65,46,43,43,41,23,25,7,12,5,,2,,,,1
 20 466 ,Santiago Ixtayutla,"8,265","1,448","1,527","1,165",862,648,590,409,393,314,238,201,145,151,59,58,19,19,8,2,1,1,7
 20 467 ,Santiago Jamiltepec,"16,451","2,312","2,764","2,493","1,798","1,225","1,043",894,875,705,568,491,293,316,202,154,93,73,27,15,6,4,100
 20 468 ,Santiago Jocotepec,"10,618","1,887","1,888","1,567","1,133",856,654,511,538,351,345,218,173,124,100,57,70,35,14,8,7,7,75
 20 469 ,Santiago Juxtlahuaca,"27,918","4,327","4,756","4,389","2,787","1,983","1,715","1,470","1,397","1,010",921,659,553,576,333,339,191,210,74,63,26,23,116
 20 470 ,Santiago Lachiguirí,"5,427",724,803,717,531,507,402,316,295,216,200,207,157,153,85,50,19,20,10,3,3,4,5
 20 471 ,Santiago Lalopa,543,63,64,62,50,38,31,19,33,21,29,26,20,29,22,17,10,7,,1,,,1
 20 472 ,Santiago Laollaga,"2,790",303,367,393,280,204,170,166,142,134,124,140,89,85,55,40,43,27,18,3,,,7
 20 473 ,Santiago Laxopa,"1,643",230,231,188,120,117,89,66,71,55,74,68,87,86,60,43,21,24,5,4,,1,3
 20 474 ,Santiago Llano Grande,"3,352",483,594,573,359,211,195,141,142,134,105,92,73,79,35,59,17,28,10,4,1,5,12
 20 475 ,Santiago Matatlán,"7,910","1,077","1,188","1,210",807,607,510,501,386,372,284,278,239,164,123,74,47,21,14,3,,1,4
 20 476 ,Santiago Miltepec,431,47,59,57,41,26,20,20,14,14,11,14,16,24,23,10,14,10,7,1,3,,
 20 477 ,Santiago Minas,"1,506",247,259,219,180,136,84,75,58,51,55,32,36,34,19,6,6,5,3,1,,,
 20 478 ,Santiago Nacaltepec,"2,882",371,408,433,217,162,122,116,118,127,145,122,128,115,104,65,56,42,21,9,,,1
 20 479 ,Santiago Nejapilla,335,30,32,46,33,16,15,10,7,11,15,9,30,19,19,14,16,4,8,,1,,
 20 480 ,Santiago Nundiche,"1,240",136,200,233,115,69,47,59,52,62,67,54,42,25,28,15,15,12,5,3,,1,
 20 481 ,Santiago Nuyoó,"3,083",390,523,576,255,170,147,151,149,111,147,123,92,92,57,39,27,14,6,5,3,2,4
 20 482 ,Santiago Pinotepa Nacional,"37,800","5,324","6,059","5,801","4,428","3,106","2,600","2,116","1,947","1,402","1,290","1,020",704,656,377,353,200,177,57,49,27,20,87
 20 483 ,Santiago Suchilquitongo,"6,310",779,865,786,702,592,471,358,342,218,214,176,197,193,132,107,80,47,39,8,1,1,2
 20 484 ,Santiago Tamazola,"4,124",646,707,632,388,262,223,187,194,136,149,120,130,124,53,61,50,36,19,6,1,,
 20 485 ,Santiago Tapextla,"3,115",570,601,502,275,218,191,138,136,117,95,71,43,71,16,31,11,16,4,3,1,3,2
 20 486 ,Villa Tejupam de la Unión,"2,317",285,272,323,234,180,146,124,101,105,79,84,69,70,56,41,47,48,33,11,6,1,2
 20 487 ,Santiago Tenango,"1,767",242,272,248,197,125,97,101,70,58,58,60,70,47,41,22,30,16,10,2,1,,
 20 488 ,Santiago Tepetlapa,149,13,12,12,14,10,4,4,4,6,2,5,7,22,11,6,9,5,2,1,,,
 20 489 ,Santiago Tetepec,"4,386",759,790,665,410,297,237,219,243,188,177,113,84,81,46,31,21,10,5,5,3,1,1
 20 490 ,Santiago Texcalcingo,"2,349",416,402,332,220,167,139,123,116,87,100,60,53,51,18,17,17,14,3,6,2,1,5
 20 491 ,Santiago Textitlán,"2,522",405,436,377,266,222,170,113,112,84,91,69,57,41,34,15,13,4,1,4,1,,7
 20 492 ,Santiago Tilantongo,"4,272",596,685,680,374,226,173,167,171,148,194,171,163,153,142,92,70,36,21,5,3,2,
 20 493 ,Santiago Tillo,499,41,52,55,57,29,35,17,25,20,18,23,17,25,24,22,14,13,6,3,2,1,
 20 494 ,Santiago Tlazoyaltepec,"4,504",728,754,657,425,362,295,263,208,145,172,143,93,74,57,49,33,25,15,2,4,,
 20 495 ,Santiago Xanica,"3,513",603,609,480,315,246,243,191,194,144,132,92,81,83,47,23,12,12,2,2,1,,1
 20 496 ,Santiago Xiacuí,"2,333",305,355,346,206,156,160,118,99,84,88,98,73,89,58,32,25,17,12,6,2,3,1
 20 497 ,Santiago Yaitepec,"2,346",347,339,283,234,217,211,164,100,109,73,65,49,62,19,29,13,17,1,5,2,4,3
 20 498 ,Santiago Yaveo,"6,952","1,117","1,134",981,717,592,480,333,333,253,246,229,141,162,73,50,42,31,14,10,5,3,6
 20 499 ,Santiago Yolomécatl,"1,623",153,204,237,165,108,86,100,82,70,49,60,60,50,58,49,22,28,32,6,2,1,1
 20 500 ,Santiago Yosondúa,"8,332","1,092","1,375","1,420",758,433,382,354,421,333,348,354,341,226,226,106,80,37,24,9,4,2,7
 20 501 ,Santiago Yucuyachi,"1,407",145,212,241,128,78,61,63,60,54,58,48,52,56,53,28,25,21,15,5,4,,
 20 502 ,Santiago Zacatepec,"4,982",691,765,667,462,383,329,260,265,209,259,177,149,130,82,62,41,26,8,7,1,4,5
 20 503 ,Santiago Zoochila,436,43,50,69,43,22,17,24,15,20,28,12,23,20,15,12,14,3,5,,1,,
 20 504 ,Nuevo Zoquiapam,"1,700",288,278,232,164,135,106,99,69,59,50,46,44,49,30,21,11,6,7,5,,,1
 20 505 ,Santo Domingo Ingenio,"7,514",786,"1,045","1,057",890,603,499,440,426,348,327,280,204,171,139,113,83,51,34,8,2,2,6
 20 506 ,Santo Domingo Albarradas,820,90,118,102,75,52,67,54,45,45,42,27,23,32,10,9,7,7,2,3,3,3,4
 20 507 ,Santo Domingo Armenta,"3,315",478,558,582,359,226,208,163,165,116,123,88,49,65,32,40,28,19,4,3,1,2,6
 20 508 ,Santo Domingo Chihuitán,"1,340",117,157,185,148,74,81,81,55,65,63,67,46,65,42,37,18,20,15,3,,1,
 20 509 ,Santo Domingo de Morelos,"5,654",852,"1,064",857,678,510,416,276,285,187,182,124,69,58,27,22,13,20,3,6,1,2,2
 20 510 ,Santo Domingo Ixcatlán,943,110,152,176,90,38,40,42,46,36,39,42,46,20,17,23,16,4,5,1,,,
 20 511 ,Santo Domingo Nuxaá,"3,167",496,506,459,296,224,147,118,135,116,114,106,120,80,80,62,62,26,14,6,,,
 20 512 ,Santo Domingo Ozolotepec,859,118,133,125,81,68,47,57,36,39,38,20,34,17,18,6,8,2,3,1,2,3,3
 20 513 ,Santo Domingo Petapa,"7,700","1,070","1,220","1,179",792,549,466,442,431,294,300,288,173,174,123,87,49,23,15,4,5,4,12
 20 514 ,Santo Domingo Roayaga,839,147,113,101,53,56,53,47,49,28,36,31,34,42,20,14,2,10,,1,1,1,
 20 515 ,Santo Domingo Tehuantepec,"47,147","5,750","6,731","6,366","5,287","4,028","3,772","3,307","2,749","2,078","1,698","1,469","1,013","1,010",732,454,302,202,115,48,16,9,11
 20 516 ,Santo Domingo Teojomulco,"3,867",633,581,526,405,317,254,180,180,122,147,117,109,81,59,46,19,21,11,3,3,1,52
 20 517 ,Santo Domingo Tepuxtepec,"4,214",707,682,518,391,303,310,228,214,155,169,135,104,119,54,38,27,22,6,9,12,2,9
 20 518 ,Santo Domingo Tlatayapam,175,18,13,21,15,12,10,5,6,7,6,8,10,6,9,9,12,4,3,1,,,
