Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,
,,Población Total,,,,,,,,,,,,,,,
,,Población total con estimación (Personas),,,,,,,,,,,,,,,
,,Tamaño localidad 15 tam,,,,,,,,,,,,,Sexo,,
Clave,Nombre,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas,Total,Hombres,Mujeres
20205,San Juan Lalana,13838,13838,24,332,6170,5730,1582,,,,,,,13838,6840,6998
20206,San Juan de los Cués,2391,2391,8,,198,733,1452,,,,,,,2391,1264,1127
20207,San Juan Mazatlán,14941,14941,54,246,3658,6324,4659,,,,,,,14941,7686,7255
20208,San Juan Mixtepec -Dto. 08 -,11273,11273,126,1315,5675,2157,,2000,,,,,,11273,5384,5889
20209,San Juan Mixtepec -Dto. 26 -,898,898,,,,898,,,,,,,,898,388,510
20210,San Juan Ñumí,6091,6091,,,5576,515,,,,,,,,6091,2960,3131
20211,San Juan Ozolotepec,2779,2779,132,120,864,1663,,,,,,,,2779,1384,1395
20212,San Juan Petlapa,2153,2153,,,1021,1132,,,,,,,,2153,1056,1097
20213,San Juan Quiahije,2401,2401,311,60,101,853,1076,,,,,,,2401,1174,1227
20214,San Juan Quiotepec,2623,2623,2,74,725,,1822,,,,,,,2623,1336,1287
20215,San Juan Sayultepec,666,666,,,666,,,,,,,,,666,332,334
20216,San Juan Tabaá,1195,1195,,,,,1195,,,,,,,1195,574,621
20217,San Juan Tamazola,3500,3500,647,783,1438,632,,,,,,,,3500,1676,1824
20218,San Juan Teita,722,722,,,,722,,,,,,,,722,345,377
20219,San Juan Teitipac,2970,,,,,,,,2970,,,,,2970,1350,1620
20220,San Juan Tepeuxila,3018,3018,31,57,445,2485,,,,,,,,3018,1559,1459
20221,San Juan Teposcolula,1457,1457,,81,828,548,,,,,,,,1457,707,750
20222,San Juan Yaeé,1649,1649,,,781,868,,,,,,,,1649,770,879
20223,San Juan Yatzona,487,487,,,487,,,,,,,,,487,221,266
20224,San Juan Yucuita,765,765,32,,189,544,,,,,,,,765,376,389
20225,San Lorenzo,4798,4798,42,,949,724,3083,,,,,,,4798,2385,2413
20226,San Lorenzo Albarradas,2711,2711,150,,462,507,1592,,,,,,,2711,1418,1293
20227,San Lorenzo Cacaotepec,7061,2516,,,,982,1534,,4545,,,,,7061,3496,3565
20228,San Lorenzo Cuaunecuiltitla,670,670,,,,670,,,,,,,,670,324,346
20229,San Lorenzo Texmelúcan,4124,4124,,,572,3552,,,,,,,,4124,1968,2156
20230,San Lorenzo Victoria,1522,1522,33,,,1489,,,,,,,,1522,702,820
20231,San Lucas Camotlán,2471,2471,,,,674,1797,,,,,,,2471,1277,1194
20232,San Lucas Ojitlán,16476,11435,238,700,6664,2780,1053,,5041,,,,,16476,7957,8519
20233,San Lucas Quiaviní,2156,2156,,,,,,2156,,,,,,2156,1050,1106
20234,San Lucas Zoquiápam,7226,7226,,67,2814,3186,1159,,,,,,,7226,3597,3629
20235,San Luis Amatlán,3825,3825,307,336,1074,,2108,,,,,,,3825,1757,2068
20236,San Marcial Ozolotepec,1748,1748,612,430,126,580,,,,,,,,1748,874,874
20237,San Marcos Arteaga,2230,2230,25,,366,658,1181,,,,,,,2230,1068,1162
20238,San Martín de los Cansecos,784,784,,,,784,,,,,,,,784,401,383
20239,San Martín Huamelúlpam,1220,1220,36,178,1006,,,,,,,,,1220,533,687
20240,San Martín Itunyoso,1709,1709,,,332,1377,,,,,,,,1709,790,919
20241,San Martín Lachilá,1356,1356,6,,,,1350,,,,,,,1356,653,703
20242,San Martín Peras,6170,6170,,71,3306,865,1928,,,,,,,6170,2988,3182
20243,San Martín Tilcajete,1600,1600,,,,,1600,,,,,,,1600,811,789
20244,San Martín Toxpalan,2831,2831,,92,1231,,1508,,,,,,,2831,1404,1427
20245,San Martín Zacatepec,1622,1622,,55,,1567,,,,,,,,1622,775,847
20246,San Mateo Cajonos,699,699,,,111,588,,,,,,,,699,329,370
20247,Capulálpam de Méndez,1427,1427,,,,,1427,,,,,,,1427,671,756
20248,San Mateo del Mar,9498,4943,,,1608,566,2769,,4555,,,,,9498,4850,4648
20249,San Mateo Yoloxochitlán,2647,2647,,,116,545,1986,,,,,,,2647,1313,1334
20250,San Mateo Etlatongo,1185,1185,26,,648,511,,,,,,,,1185,574,611
20251,San Mateo Nejápam,1122,1122,,57,,,1065,,,,,,,1122,557,565
20252,San Mateo Peñasco,1573,1573,,,279,1294,,,,,,,,1573,733,840
20253,San Mateo Piñas,5079,5079,70,662,2902,1445,,,,,,,,5079,2552,2527
20254,San Mateo Río Hondo,3812,3812,348,769,676,2019,,,,,,,,3812,1838,1974
20255,San Mateo Sindihui,1722,1722,50,,215,,1457,,,,,,,1722,848,874
20256,San Mateo Tlapiltepec,261,261,,,261,,,,,,,,,261,128,133
20257,San Melchor Betaza,1202,1202,,,293,909,,,,,,,,1202,549,653
20258,San Miguel Achiutla,1198,1198,,,248,950,,,,,,,,1198,611,587
20259,San Miguel Ahuehuetitlán,2231,2231,,77,418,,1736,,,,,,,2231,1083,1148
20260,San Miguel Aloápam,2479,2479,,,,666,1813,,,,,,,2479,1249,1230
20261,San Miguel Amatitlán,5671,5671,16,79,3028,1145,1403,,,,,,,5671,2772,2899
20262,San Miguel Amatlán,1164,1164,18,94,333,719,,,,,,,,1164,590,574
20263,San Miguel Coatlán,2646,2646,302,401,1017,926,,,,,,,,2646,1312,1334
20264,San Miguel Chicahua,2543,2543,143,259,416,636,1089,,,,,,,2543,1173,1370
20265,San Miguel Chimalapa,5683,5683,76,400,2222,1716,1269,,,,,,,5683,2853,2830
20266,San Miguel del Puerto,7546,7546,607,823,1178,697,2105,2136,,,,,,7546,3792,3754
20267,San Miguel del Río,410,410,,,410,,,,,,,,,410,208,202
20268,San Miguel Ejutla,801,801,71,,,730,,,,,,,,801,371,430
20269,San Miguel el Grande,4338,4338,,,1951,1326,1061,,,,,,,4338,1976,2362
20270,San Miguel Huautla,1893,1893,48,88,770,987,,,,,,,,1893,924,969
20271,San Miguel Mixtepec,1920,1920,40,118,1762,,,,,,,,,1920,956,964
20272,San Miguel Panixtlahuaca,3967,745,311,232,202,,,,3222,,,,,3967,1946,2021
20273,San Miguel Peras,3329,3329,,,932,1081,1316,,,,,,,3329,1651,1678
20274,San Miguel Piedras,1307,1307,,147,1160,,,,,,,,,1307,633,674
20275,San Miguel Quetzaltepec,4730,1751,50,228,746,727,,,2979,,,,,4730,2390,2340
20276,San Miguel Santa Flor,1147,1147,86,135,106,820,,,,,,,,1147,589,558
20277,Villa Sola de Vega,11411,11411,1060,1633,4787,2406,1525,,,,,,,11411,5622,5789
20278,San Miguel Soyaltepec,30678,24800,223,135,6616,7206,10620,,5878,,,,,30678,15332,15346
20279,San Miguel Suchixtepec,2530,2530,333,315,375,,1507,,,,,,,2530,1252,1278
20280,Villa Talea de Castro,2855,2855,,95,666,,,2094,,,,,,2855,1385,1470
20281,San Miguel Tecomatlán,273,273,,,273,,,,,,,,,273,121,152
20282,San Miguel Tenango,920,920,122,122,150,526,,,,,,,,920,467,453
20283,San Miguel Tequixtepec,1129,1129,25,,500,604,,,,,,,,1129,562,567
20284,San Miguel Tilquiápam,3241,58,,58,,,,,3183,,,,,3241,1577,1664
20285,San Miguel Tlacamama,2732,2732,157,,1021,,1554,,,,,,,2732,1372,1360
20286,San Miguel Tlacotepec,3059,3059,15,61,1159,,1824,,,,,,,3059,1372,1687
20287,San Miguel Tulancingo,608,608,155,80,373,,,,,,,,,608,277,331
20288,San Miguel Yotao,514,514,,,,514,,,,,,,,514,258,256
20289,San Nicolás,1342,1342,,,424,918,,,,,,,,1342,650,692
20290,San Nicolás Hidalgo,1076,1076,40,,,,1036,,,,,,,1076,536,540
20291,San Pablo Coatlán,3767,3767,16,82,251,2266,1152,,,,,,,3767,1860,1907
20292,San Pablo Cuatro Venados,1280,1280,205,235,840,,,,,,,,,1280,646,634
20293,San Pablo Etla,4228,4228,8,,741,,3479,,,,,,,4228,2104,2124
20294,San Pablo Huitzo,4916,503,120,148,235,,,,4413,,,,,4916,2409,2507
20295,San Pablo Huixtepec,8249,25,25,,,,,,8224,,,,,8249,3939,4310
20296,San Pablo Macuiltianguis,1482,1482,13,,,1469,,,,,,,,1482,757,725
20297,San Pablo Tijaltepec,2279,2279,81,301,1284,613,,,,,,,,2279,1058,1221
20298,San Pablo Villa de Mitla,10373,3352,16,,182,1937,1217,,7021,,,,,10373,5021,5352
20299,San Pablo Yaganiza,947,947,,,,947,,,,,,,,947,435,512
20300,San Pedro Amuzgos,4813,1353,22,,806,525,,,3460,,,,,4813,2296,2517
20301,San Pedro Apóstol,1694,1694,,60,,,1634,,,,,,,1694,786,908
20302,San Pedro Atoyac,3225,3225,64,78,684,,,2399,,,,,,3225,1637,1588
20303,San Pedro Cajonos,1283,1283,,,,,1283,,,,,,,1283,584,699
20304,San Pedro Coxcaltepec Cántaros,1250,1250,38,174,1038,,,,,,,,,1250,629,621
20305,San Pedro Comitancillo,3651,35,35,,,,,,3616,,,,,3651,1744,1907
20306,San Pedro el Alto,3759,3759,,140,1926,663,1030,,,,,,,3759,1868,1891
20307,San Pedro Huamelula,7697,7697,163,296,1117,1965,4156,,,,,,,7697,3936,3761
20308,San Pedro Huilotepec,2236,2236,,,,,,2236,,,,,,2236,1135,1101
20309,San Pedro Ixcatlán,9613,6874,129,209,2378,1961,2197,,2739,,,,,9613,4729,4884
20310,San Pedro Ixtlahuaca,2674,2674,23,,666,,1985,,,,,,,2674,1359,1315
20311,San Pedro Jaltepetongo,728,728,,,,728,,,,,,,,728,347,381
20312,San Pedro Jicayán,8613,4880,249,,1122,2043,1466,,3733,,,,,8613,4292,4321
20313,San Pedro Jocotipac,1159,1159,,,,,1159,,,,,,,1159,554,605
20314,San Pedro Juchatengo,1587,1587,243,52,,,1292,,,,,,,1587,764,823
20315,San Pedro Mártir,1727,1727,,,,,1727,,,,,,,1727,830,897
20316,San Pedro Mártir Quiechapa,836,836,,,,836,,,,,,,,836,417,419
20317,San Pedro Mártir Yucuxaco,1620,1620,13,153,1454,,,,,,,,,1620,804,816
20318,San Pedro Mixtepec -Dto. 22 -,20733,5298,443,339,2942,1574,,,15435,,,,,20733,10235,10498
20319,San Pedro Mixtepec -Dto. 26 -,1383,1383,14,,,,1369,,,,,,,1383,670,713
20320,San Pedro Molinos,624,624,,,624,,,,,,,,,624,269,355
20321,San Pedro Nopala,1116,1116,2,,605,509,,,,,,,,1116,535,581
20322,San Pedro Ocopetatillo,900,900,,,,900,,,,,,,,900,436,464
20323,San Pedro Ocotepec,1681,1681,15,52,128,1486,,,,,,,,1681,852,829
20324,San Pedro Pochutla,25701,17183,532,1358,7364,3453,2407,2069,8518,,,,,25701,13128,12573
20325,San Pedro Quiatoni,8421,8421,163,542,4813,,2903,,,,,,,8421,4147,4274
20326,San Pedro Sochiápam,3877,3877,46,,496,856,2479,,,,,,,3877,1869,2008
20327,San Pedro Tapanatepec,10520,5131,442,133,2354,,2202,,5389,,,,,10520,5351,5169
20328,San Pedro Taviche,851,851,108,,,743,,,,,,,,851,419,432
20329,San Pedro Teozacoalco,1400,1400,,,1400,,,,,,,,,1400,686,714
20330,San Pedro Teutila,3579,3579,35,187,658,1292,1407,,,,,,,3579,1811,1768
20331,San Pedro Tidaá,1002,1002,,,,,1002,,,,,,,1002,465,537
20332,San Pedro Topiltepec,527,527,,,527,,,,,,,,,527,252,275
20333,San Pedro Totolápam,3084,3084,85,,955,,,2044,,,,,,3084,1467,1617
20334,Villa de Tututepec de Melchor Ocampo,35376,20763,803,705,6140,6723,4158,2234,14613,,,,,35376,17770,17606
20335,San Pedro Yaneri,926,926,,,926,,,,,,,,,926,464,462
20336,San Pedro Yólox,2904,2904,156,288,1472,988,,,,,,,,2904,1433,1471
20337,San Pedro y San Pablo Ayutla,5386,5386,,153,,3864,1369,,,,,,,5386,2596,2790
20338,Villa de Etla,6077,857,,,,857,,,5220,,,,,6077,2906,3171
20339,San Pedro y San Pablo Teposcolula,3694,3694,14,247,1547,531,1355,,,,,,,3694,1779,1915
20340,San Pedro y San Pablo Tequixtepec,2850,2850,182,61,1388,1219,,,,,,,,2850,1297,1553
20341,San Pedro Yucunama,236,236,,,236,,,,,,,,,236,105,131
20342,San Raymundo Jalpan,1429,1429,,,,,1429,,,,,,,1429,681,748
20343,San Sebastián Abasolo,2030,2030,,,333,,1697,,,,,,,2030,955,1075
20344,San Sebastián Coatlán,2329,2329,,289,190,670,1180,,,,,,,2329,1144,1185
20345,San Sebastián Ixcapa,3944,3944,31,,902,550,2461,,,,,,,3944,1961,1983
20346,San Sebastián Nicananduta,1751,1751,,,,,1751,,,,,,,1751,832,919
20347,San Sebastián Río Hondo,2678,2678,149,316,1029,1184,,,,,,,,2678,1320,1358
20348,San Sebastián Tecomaxtlahuaca,8528,8528,232,981,4028,1259,,2028,,,,,,8528,4021,4507
20349,San Sebastián Teitipac,2175,2175,,,143,,,2032,,,,,,2175,1056,1119
20350,San Sebastián Tutla,4231,4231,,,,,1929,2302,,,,,,4231,1982,2249
20351,San Simón Almolongas,2615,2615,,,636,775,1204,,,,,,,2615,1245,1370
20352,San Simón Zahuatlán,1646,1646,,,,,1646,,,,,,,1646,850,796
20353,Santa Ana,1682,1682,,,,,1682,,,,,,,1682,859,823
20354,Santa Ana Ateixtlahuaca,551,551,55,,496,,,,,,,,,551,255,296
20355,Santa Ana Cuauhtémoc,941,941,93,216,,632,,,,,,,,941,475,466
20356,Santa Ana del Valle,2220,2220,,,,,,2220,,,,,,2220,1015,1205
20357,Santa Ana Tavela,1351,1351,,,,,1351,,,,,,,1351,677,674
20358,Santa Ana Tlapacoyan,3078,3078,,,523,905,1650,,,,,,,3078,1469,1609
20359,Santa Ana Yareni,1234,1234,,,,,1234,,,,,,,1234,606,628
20360,Santa Ana Zegache,3332,777,,,777,,,,2555,,,,,3332,1592,1740
20361,Santa Catalina Quierí,1239,1239,,,,,1239,,,,,,,1239,582,657
20362,Santa Catarina Cuixtla,1948,1948,26,,,,1922,,,,,,,1948,907,1041
20363,Santa Catarina Ixtepeji,2315,2315,82,128,1244,861,,,,,,,,2315,1164,1151
20364,Santa Catarina Juquila,11315,8213,567,1144,3303,895,2304,,3102,,,,,11315,5457,5858
20365,Santa Catarina Lachatao,1702,1702,248,136,769,549,,,,,,,,1702,850,852
20366,Santa Catarina Loxicha,4575,4575,164,475,1890,,,2046,,,,,,4575,2272,2303
20367,Santa Catarina Mechoacán,3674,11,11,,,,,,3663,,,,,3674,1802,1872
20368,Santa Catarina Minas,1514,1514,65,,,,1449,,,,,,,1514,737,777
20369,Santa Catarina Quiané,1660,1660,,,,,1660,,,,,,,1660,828,832
20370,Santa Catarina Tayata,748,748,40,157,551,,,,,,,,,748,363,385
20371,Santa Catarina Ticuá,931,931,19,,912,,,,,,,,,931,444,487
20372,Santa Catarina Yosonotú,2244,2244,,68,1037,1139,,,,,,,,2244,1026,1218
20373,Santa Catarina Zapoquila,806,806,,164,642,,,,,,,,,806,380,426
20374,Santa Cruz Acatepec,1116,1116,,218,,898,,,,,,,,1116,563,553
20375,Santa Cruz Amilpas,4204,50,,50,,,,,4154,,,,,4204,1960,2244
20376,Santa Cruz de Bravo,567,567,46,,,521,,,,,,,,567,267,300
20377,Santa Cruz Itundujia,9668,9668,817,2123,5005,563,1160,,,,,,,9668,4730,4938
20378,Santa Cruz Mixtepec,3542,3542,,57,,1221,2264,,,,,,,3542,1742,1800
20379,Santa Cruz Nundaco,2609,2609,,,518,2091,,,,,,,,2609,1234,1375
20380,Santa Cruz Papalutla,1735,1735,,,,,1735,,,,,,,1735,851,884
20381,Santa Cruz Tacache de Mina,2801,2801,,,,539,,2262,,,,,,2801,1352,1449
20382,Santa Cruz Tacahua,1198,1198,,57,1141,,,,,,,,,1198,578,620
20383,Santa Cruz Tayata,530,530,,,530,,,,,,,,,530,268,262
20384,Santa Cruz Xitla,3587,821,,,,821,,,2766,,,,,3587,1737,1850
20385,Santa Cruz Xoxocotlán,30762,3913,,59,1005,1464,1385,,,26849,,,,30762,14820,15942
20386,Santa Cruz Zenzontepec,11576,11576,162,499,6842,4073,,,,,,,,11576,5881,5695
20387,Santa Gertrudis,3934,1189,3,,,1186,,,2745,,,,,3934,1873,2061
20388,Santa Inés del Monte,2018,2018,,,1253,765,,,,,,,,2018,968,1050
20389,Santa Inés Yatzeche,1325,1325,,,,,1325,,,,,,,1325,634,691
20390,Santa Lucía del Camino,29122,1511,46,,,,1465,,,27611,,,,29122,14347,14775
20391,Santa Lucía Miahuatlán,2481,2481,49,69,1351,,1012,,,,,,,2481,1252,1229
20392,Santa Lucía Monteverde,7170,7170,177,139,3579,3275,,,,,,,,7170,3412,3758
20393,Santa Lucía Ocotlán,2877,31,31,,,,,,2846,,,,,2877,1382,1495
20394,Santa María Alotepec,2474,2474,,,445,911,1118,,,,,,,2474,1212,1262
20395,Santa María Apazco,3118,3118,15,71,434,2598,,,,,,,,3118,1527,1591
20396,Santa María la Asunción,3411,3411,,,366,,3045,,,,,,,3411,1577,1834
20397,Heroica Ciudad de Tlaxiaco,22813,13258,21,736,9621,2880,,,9555,,,,,22813,10856,11957
20398,Ayoquezco de Aldama,5931,547,4,50,493,,,,5384,,,,,5931,2864,3067
20399,Santa María Atzompa,5781,2436,33,56,984,1363,,,3345,,,,,5781,2785,2996
20400,Santa María Camotlán,1710,1710,17,,,,1693,,,,,,,1710,840,870
20401,Santa María Colotepec,12899,8236,194,1678,4082,2282,,,4663,,,,,12899,6559,6340
20402,Santa María Cortijo,951,951,16,,,935,,,,,,,,951,490,461
20403,Santa María Coyotepec,877,877,,,,877,,,,,,,,877,429,448
20404,Santa María Chachoápam,859,859,15,,844,,,,,,,,,859,430,429
20405,Villa de Chilapa de Díaz,2039,2039,65,,517,,1457,,,,,,,2039,854,1185
20406,Santa María Chilchotla,19108,19108,129,665,12182,4267,1865,,,,,,,19108,9552,9556
20407,Santa María Chimalapa,5733,5733,275,215,1765,1206,,2272,,,,,,5733,2928,2805
20408,Santa María del Rosario,445,445,87,116,242,,,,,,,,,445,208,237
20409,Santa María del Tule,6398,370,,,370,,,,6028,,,,,6398,3011,3387
20410,Santa María Ecatepec,3658,3658,,,1081,2577,,,,,,,,3658,1855,1803
20411,Santa María Guelacé,656,656,,,,656,,,,,,,,656,308,348
20412,Santa María Guienagati,2198,2198,191,198,862,947,,,,,,,,2198,1089,1109
20413,Santa María Huatulco,12645,9847,510,779,4115,1373,3070,,2798,,,,,12645,6448,6197
20414,Santa María Huazolotitlán,9432,4918,77,,1093,683,1037,2028,4514,,,,,9432,4700,4732
20415,Santa María Ipalapa,4727,4727,138,71,480,,4038,,,,,,,4727,2290,2437
20416,Santa María Ixcatlán,719,719,,,,719,,,,,,,,719,352,367
20417,Santa María Jacatepec,8111,8111,119,470,2583,2445,2494,,,,,,,8111,4091,4020
20418,Santa María Jalapa del Marqués,9959,2273,58,178,1471,566,,,7686,,,,,9959,4892,5067
20419,Santa María Jaltianguis,750,750,,,,750,,,,,,,,750,362,388
20420,Santa María Lachixío,1074,1074,,,302,772,,,,,,,,1074,511,563
20421,Santa María Mixtequilla,3629,197,15,,182,,,,3432,,,,,3629,1791,1838
20422,Santa María Nativitas,865,865,15,,850,,,,,,,,,865,383,482
20423,Santa María Nduayaco,756,756,68,159,529,,,,,,,,,756,350,406
20424,Santa María Ozolotepec,3833,3833,382,302,643,2506,,,,,,,,3833,1903,1930
20425,Santa María Pápalo,1801,1801,,,518,,1283,,,,,,,1801,884,917
20426,Santa María Peñoles,6354,6354,88,,6266,,,,,,,,,6354,3111,3243
20427,Santa María Petapa,10743,4865,6,79,1715,1176,1889,,5878,,,,,10743,5339,5404
20428,Santa María Quiegolani,1539,1539,27,,624,888,,,,,,,,1539,805,734
20429,Santa María Sola,1863,1863,41,54,445,1323,,,,,,,,1863,916,947
20430,Santa María Tataltepec,494,494,,,494,,,,,,,,,494,254,240
20431,Santa María Tecomavaca,1698,1698,,140,,,1558,,,,,,,1698,848,850
20432,Santa María Temaxcalapa,885,885,,,,885,,,,,,,,885,422,463
20433,Santa María Temaxcaltepec,1495,1495,104,69,567,755,,,,,,,,1495,733,762
20434,Santa María Teopoxco,4071,4071,,236,2153,660,1022,,,,,,,4071,1943,2128
20435,Santa María Tepantlali,2318,2318,,160,1434,724,,,,,,,,2318,1135,1183
20436,Santa María Texcatitlán,1096,1096,,,,,1096,,,,,,,1096,517,579
20437,Santa María Tlahuitoltepec,6979,6979,4,50,2797,1941,,2187,,,,,,6979,3406,3573
20438,Santa María Tlalixtac,1507,1507,35,166,591,715,,,,,,,,1507,756,751
20439,Santa María Tonameca,15291,15291,408,1216,8544,3668,1455,,,,,,,15291,7802,7489
20440,Santa María Totolapilla,929,929,,,,929,,,,,,,,929,473,456
20441,Santa María Xadani,4957,86,86,,,,,,4871,,,,,4957,2517,2440
20442,Santa María Yalina,403,403,,,403,,,,,,,,,403,175,228
20443,Santa María Yavesía,702,702,,,,702,,,,,,,,702,338,364
20444,Santa María Yolotepec,531,531,42,84,405,,,,,,,,,531,280,251
20445,Santa María Yosoyúa,1180,1180,70,,499,611,,,,,,,,1180,562,618
20446,Santa María Yucuhiti,6850,6850,,,835,3533,2482,,,,,,,6850,3402,3448
20447,Santa María Zacatepec,14533,10787,237,245,4530,2879,2896,,3746,,,,,14533,7190,7343
20448,Santa María Zaniza,1038,1038,29,152,,857,,,,,,,,1038,504,534
20449,Santa María Zoquitlán,4272,4272,298,329,1093,555,1997,,,,,,,4272,2131,2141
20450,Santiago Amoltepec,7540,7540,,85,4394,3061,,,,,,,,7540,3718,3822
20451,Santiago Apoala,1613,1613,,,987,626,,,,,,,,1613,767,846
20452,Santiago Apóstol,4513,,,,,,,,4513,,,,,4513,2089,2424
20453,Santiago Astata,2275,2275,20,,267,,1988,,,,,,,2275,1155,1120
20454,Santiago Atitlán,2270,2270,41,91,1459,679,,,,,,,,2270,1161,1109
20455,Santiago Ayuquililla,2405,2405,47,52,125,723,1458,,,,,,,2405,1169,1236
20456,Santiago Cacaloxtepec,1454,1454,,,293,,1161,,,,,,,1454,708,746
20457,Santiago Camotlán,2854,2854,22,245,1170,1417,,,,,,,,2854,1451,1403
20458,Santiago Comaltepec,1972,1972,139,,708,,1125,,,,,,,1972,993,979
20459,Santiago Chazumba,4717,4717,207,341,2711,,1458,,,,,,,4717,2219,2498
20460,Santiago Choápam,4287,4287,2,51,1039,2066,1129,,,,,,,4287,2096,2191
20461,Santiago del Río,1154,1154,25,,440,689,,,,,,,,1154,535,619
20462,Santiago Huajolotitlán,4469,4469,118,85,1476,1376,1414,,,,,,,4469,2136,2333
20463,Santiago Huauclilla,1065,1065,63,71,931,,,,,,,,,1065,531,534
20464,Santiago Ihuitlán Plumas,648,648,,,648,,,,,,,,,648,294,354
20465,Santiago Ixcuintepec,1059,1059,87,80,139,753,,,,,,,,1059,497,562
20466,Santiago Ixtayutla,8265,8265,182,350,3773,2789,1171,,,,,,,8265,4096,4169
20467,Santiago Jamiltepec,16451,8270,229,319,3692,4030,,,8181,,,,,16451,8218,8233
20468,Santiago Jocotepec,10618,10618,78,337,3893,2454,3856,,,,,,,10618,5291,5327
20469,Santiago Juxtlahuaca,27918,22723,225,433,8051,6445,7569,,5195,,,,,27918,13604,14314
20470,Santiago Lachiguiri,5427,5427,405,455,1407,3160,,,,,,,,5427,2700,2727
20471,Santiago Lalopa,543,543,,,,543,,,,,,,,543,266,277
20472,Santiago Laollaga,2790,2790,45,78,361,,,2306,,,,,,2790,1368,1422
20473,Santiago Laxopa,1643,1643,,,258,1385,,,,,,,,1643,775,868
20474,Santiago Llano Grande,3352,3352,37,,,1506,1809,,,,,,,3352,1669,1683
20475,Santiago Matatlán,7910,2108,,,1593,515,,,5802,,,,,7910,3774,4136
20476,Santiago Miltepec,431,431,47,,384,,,,,,,,,431,195,236
20477,Santiago Minas,1506,1506,80,78,1348,,,,,,,,,1506,774,732
20478,Santiago Nacaltepec,2882,2882,69,,1415,1398,,,,,,,,2882,1446,1436
20479,Santiago Nejapilla,335,335,,,335,,,,,,,,,335,175,160
20480,Santiago Nundiche,1240,1240,49,233,958,,,,,,,,,1240,593,647
20481,Santiago Nuyoó,3083,3083,,,1360,1723,,,,,,,,3083,1520,1563
20482,Santiago Pinotepa Nacional,37800,17982,633,632,4381,2268,7675,2393,,19818,,,,37800,18628,19172
20483,Santiago Suchilquitongo,6310,1624,,,,1624,,,4686,,,,,6310,3094,3216
20484,Santiago Tamazola,4124,4124,,,910,1299,1915,,,,,,,4124,1959,2165
20485,Santiago Tapextla,3115,3115,64,,567,969,1515,,,,,,,3115,1633,1482
20486,Villa Tejúpam de la Unión,2317,2317,47,,1275,995,,,,,,,,2317,1140,1177
20487,Santiago Tenango,1767,1767,130,202,1435,,,,,,,,,1767,902,865
20488,Santiago Tepetlapa,149,149,41,,108,,,,,,,,,149,70,79
20489,Santiago Tetepec,4386,4386,88,70,2567,553,1108,,,,,,,4386,2249,2137
20490,Santiago Texcalcingo,2349,2349,,,113,550,1686,,,,,,,2349,1159,1190
20491,Santiago Textitlán,2522,2522,132,178,1702,510,,,,,,,,2522,1229,1293
20492,Santiago Tilantongo,4272,4272,12,,3735,525,,,,,,,,4272,2064,2208
20493,Santiago Tillo,499,499,,,499,,,,,,,,,499,263,236
20494,Santiago Tlazoyaltepec,4504,4504,118,796,3066,524,,,,,,,,4504,2154,2350
20495,Santiago Xanica,3513,3513,415,215,671,2212,,,,,,,,3513,1725,1788
20496,Santiago Xiacuí,2333,2333,,,766,1567,,,,,,,,2333,1097,1236
20497,Santiago Yaitepec,2346,2346,61,,,676,1609,,,,,,,2346,1119,1227
20498,Santiago Yaveo,6952,6952,1107,216,2277,1857,1495,,,,,,,6952,3519,3433
20499,Santiago Yolomécatl,1623,1623,35,,135,,1453,,,,,,,1623,771,852
20500,Santiago Yosondúa,8332,8332,,81,4510,3741,,,,,,,,8332,4039,4293
20501,Santiago Yucuyachi,1407,1407,,,,1407,,,,,,,,1407,608,799
20502,Santiago Zacatepec,4982,4982,53,469,120,762,1344,2234,,,,,,4982,2508,2474
20503,Santiago Zoochila,436,436,,,436,,,,,,,,,436,203,233
20504,Nuevo Zoquiápam,1700,1700,,,300,,1400,,,,,,,1700,854,846
20505,Santo Domingo Ingenio,7514,1973,168,95,384,,1326,,5541,,,,,7514,3781,3733
20506,Santo Domingo Albarradas,820,820,57,,,763,,,,,,,,820,391,429
20507,Santo Domingo Armenta,3315,577,21,69,487,,,,2738,,,,,3315,1745,1570
20508,Santo Domingo Chihuitán,1340,1340,29,,,,1311,,,,,,,1340,671,669
20509,Santo Domingo de Morelos,5654,5654,83,,2047,1090,2434,,,,,,,5654,2913,2741
20510,Santo Domingo Ixcatlán,943,943,25,227,691,,,,,,,,,943,438,505
20511,Santo Domingo Nuxaá,3167,3167,44,523,861,540,1199,,,,,,,3167,1573,1594
20512,Santo Domingo Ozolotepec,859,859,12,,142,705,,,,,,,,859,412,447
20513,Santo Domingo Petapa,7700,3707,139,355,2174,,1039,,3993,,,,,7700,3925,3775
20514,Santo Domingo Roayaga,839,839,,,295,544,,,,,,,,839,412,427
20515,Santo Domingo Tehuantepec,47147,13702,118,63,4570,3237,3680,2034,,33445,,,,47147,23327,23820
20516,Santo Domingo Teojomulco,3867,3867,62,833,978,,1994,,,,,,,3867,1942,1925
