"UNIDADES DE PRODUCCIÓN RURALES CON CULTIVO PRINCIPAL ANUAL, SEGÚN CICLO DE CULTIVO, ",,,,,,CUADRO 8B,,,,,
"SUPERFICIE SEMBRADA, COSECHADA Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ",,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,,,,,,
,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,CICLO,,,,,,,,
,,, OTOÑO-INVIERNO,,,,,,,,
,COYUCA DE BENITEZ,,*,  5.00,  2.00,  1.50,,,,,
,COYUCA DE CATALAN,,  3,  6.00,  6.00,  4.50,,,,,
,CUAJINICUILAPA,,  30,  75.53,  60.03,  33.75,,,,,
,CUALAC,,-,-,-,-,,,,,
,CUAUTEPEC,,  4,  7.50,  7.50,  1.84,,,,,
,CUETZALA DEL PROGRESO,,-,-,-,-,,,,,
,CUTZAMALA DE PINZON,,  6,  8.50,  7.50,  7.02,,,,,
,FLORENCIO VILLARREAL,,  3,  8.00,  6.50,  4.87,,,,,
,GENERAL HELIODORO CASTILLO,,*,  1.00,  1.00,  1.00,,,,,
,HUAMUXTITLAN,,*,  0.25,  0.25,  0.12,,,,,
,IGUALA DE LA INDEPENDENCIA,,  3,  2.00,  2.00,  1.66,,,,,
,IGUALAPA,,  3,  4.50,  4.50,  1.60,,,,,
,JOSE AZUETA,,-,-,-,-,,,,,
,JUAN R. ESCUDERO,,-,-,-,-,,,,,
,MARTIR DE CUILAPAN,,-,-,-,-,,,,,
,OLINALA,,-,-,-,-,,,,,
,OMETEPEC,,  6,  18.00,  15.00,  7.02,,,,,
,PETATLAN,,  3,  4.00,  3.00,  1.13,,,,,
,PUNGARABATO,,*,  1.50,  1.50,  0.13,,,,,
,SAN LUIS ACATLAN,,*,  1.00,  1.00,  1.00,,,,,
,SAN MARCOS,,  5,  21.00,  17.00,  7.49,,,,,
,SAN MIGUEL TOTOLAPAN,,-,-,-,-,,,,,
,TECOANAPA,,-,-,-,-,,,,,
,TECPAN DE GALEANA,,*,  7.00,  7.00,  0.41,,,,,
,TEPECOACUILCO DE TRUJANO,,-,-,-,-,,,,,
,TLACOACHISTLAHUACA,,-,-,-,-,,,,,
,TLALCHAPA,,  3,  10.00,  6.00,  7.50,,,,,
,TLAPEHUALA,,*,  6.00,  4.00,  2.00,,,,,
,"UNION, LA",,  7,  26.00,  18.00,  7.77,,,,,
,XOCHIHUEHUETLAN,,-,-,-,-,,,,,
,XOCHISTLAHUACA,,-,-,-,-,,,,,
,ZAPOTITLAN TABLAS,,-,-,-,-,,,,,
,ZIRANDARO,,*,  2.00,  2.00,  3.50,,,,,
,EDUARDO NERI,,-,-,-,-,,,,,
HIDALGO,,,  27,  16.55,  11.93,  3.76,,,,,
,ALMOLOYA,,-,-,-,-,,,,,
,ATLAPEXCO,,*,  0.25,  0.25,  0.02,,,,,
,HUAUTLA,,  15,  9.75,  6.93,  3.27,,,,,
,HUAZALINGO,,*,  1.50,  0.25,  0.01,,,,,
,HUEHUETLA,,*,  0.50,  0.50,  0.01,,,,,
,HUEJUTLA DE REYES,,  7,  3.05,  2.50,  0.40,,,,,
,JALTOCAN,,-,-,-,-,,,,,
,LOLOTLA,,-,-,-,-,,,,,
,METEPEC,,-,-,-,-,,,,,
,SAN FELIPE ORIZATLAN,,*,  1.00,  1.00,  0.01,,,,,
,TEPEHUACAN DE GUERRERO,,*,  0.50,  0.50,  0.04,,,,,
,TIANGUISTENGO,,-,-,-,-,,,,,
,TLANCHINOL,,-,-,-,-,,,,,
,XOCHIATIPAN,,-,-,-,-,,,,,
,YAHUALICA,,-,-,-,-,,,,,
JALISCO,,,  12,  72.00,  41.50,  24.83,,,,,
,ARANDAS,,-,-,-,-,,,,,
,CABO CORRIENTES,,-,-,-,-,,,,,
,"HUERTA, LA",,*,  3.00,  3.00,  1.50,,,,,
,JILOTLAN DE LOS DOLORES,,*,  3.00,  3.00,  3.00,,,,,
,MANUEL M. DIEGUEZ,,-,-,-,-,,,,,
,PUERTO VALLARTA,,-,-,-,-,,,,,
,VILLA PURIFICACION,,-,-,-,-,,,,,
,SAN SEBASTIAN DEL OESTE,,-,-,-,-,,,,,
,TOMATLAN,,  10,  66.00,  35.50,  20.33,,,,,
MEXICO,,,-,-,-,-,,,,,
,ACULCO,,-,-,-,-,,,,,
,CHAPA DE MOTA,,-,-,-,-,,,,,
,JOCOTITLAN,,-,-,-,-,,,,,
,"PAZ, LA",,-,-,-,-,,,,,
,TEJUPILCO,,-,-,-,-,,,,,
,TEXCOCO,,-,-,-,-,,,,,
,TLATLAYA,,-,-,-,-,,,,,
,VILLA VICTORIA,,-,-,-,-,,,,,
MICHOACAN,,,  66,  440.00,  313.75,  173.48,,,,,
,AGUILILLA,,-,-,-,-,,,,,
,APATZINGAN,,  7,  22.75,  19.75,  13.81,,,,,
,AQUILA,,-,-,-,-,,,,,
,ARTEAGA,,*,  7.00,  7.00,  7.00,,,,,
,BUENAVISTA,,  6,  241.50,  144.50,  65.80,,,,,
,CARACUARO,,-,-,-,-,,,,,
,COAHUAYANA,,-,-,-,-,,,,,
,CHURUMUCO,,-,-,-,-,,,,,
,GABRIEL ZAMORA,,*,  3.00,  3.00,  1.50,,,,,
,"HUACANA, LA",,  23,  68.50,  68.50,  36.97,,,,,
,HUETAMO,,-,-,-,-,,,,,
,INDAPARAPEO,,-,-,-,-,,,,,
,LAZARO CARDENAS,,*,  10.00,  10.00,  8.00,,,,,
,MUGICA,,  10,  26.00,  22.75,  18.20,,,,,
,NOCUPETARO,,-,-,-,-,,,,,
,PARACUARO,,  10,  34.00,  23.00,  15.32,,,,,
,PURUANDIRO,,-,-,-,-,,,,,
,SAN LUCAS,,-,-,-,-,,,,,
,TACAMBARO,,-,-,-,-,,,,,
,TEPALCATEPEC,,  3,  15.00,  7.00,  3.05,,,,,
,TIQUICHEO DE NICOLAS ROMERO,,-,-,-,-,,,,,
,TUMBISCATIO,,-,-,-,-,,,,,
,TURICATO,,*,  0.25,  0.25,  0.12,,,,,
,TUZANTLA,,  3,  12.00,  8.00,  3.70,,,,,
MORELOS,,,*,  2.00,  2.00,  1.50,,,,,
,AYALA,,*,  2.00,  2.00,  1.50,,,,,
,JOJUTLA,,-,-,-,-,,,,,
,PUENTE DE IXTLA,,-,-,-,-,,,,,
,TEMIXCO,,-,-,-,-,,,,,
,TEPALCINGO,,-,-,-,-,,,,,
,TLALTIZAPAN,,-,-,-,-,,,,,
,TLAQUILTENANGO,,-,-,-,-,,,,,
,XOCHITEPEC,,-,-,-,-,,,,,
NAYARIT,,,*,  3.00,  3.00,  1.00,,,,,
,ACAPONETA,,-,-,-,-,,,,,
,COMPOSTELA,,-,-,-,-,,,,,
,HUAJICORI,,-,-,-,-,,,,,
,JALA,,-,-,-,-,,,,,
,ROSAMORADA,,-,-,-,-,,,,,
,RUIZ,,-,-,-,-,,,,,
,SAN BLAS,,-,-,-,-,,,,,
,SANTIAGO IXCUINTLA,,-,-,-,-,,,,,
,TECUALA,,*,  3.00,  3.00,  1.00,,,,,
,TEPIC,,-,-,-,-,,,,,
,BAHIA DE BANDERAS,,-,-,-,-,,,,,
NUEVO LEON,,,-,-,-,-,,,,,
,GALEANA,,-,-,-,-,,,,,
OAXACA,,,  716, 1 751.15, 1 391.05,  922.04,,,,,
,ACATLAN DE PEREZ FIGUEROA,,-,-,-,-,,,,,
,ASUNCION IXTALTEPEC,,-,-,-,-,,,,,
,"BARRIO DE LA SOLEDAD, EL",,-,-,-,-,,,,,
,CANDELARIA LOXICHA,,-,-,-,-,,,,,
,CIUDAD IXTEPEC,,  4,  9.00,  8.00,  4.05,,,,,
,COSOLAPA,,*,  0.50,  0.50,  0.12,,,,,
,ELOXOCHITLAN DE FLORES MAGON,,-,-,-,-,,,,,
,JUCHITAN DE ZARAGOZA,,  19,  43.00,  35.00,  19.35,,,,,
,LOMA BONITA,,-,-,-,-,,,,,
,MAGDALENA TEQUISISTLAN,,*,  3.00,  2.00,  1.00,,,,,
,MAGDALENA TLACOTEPEC,,  22,  70.00,  46.00,  14.24,,,,,
,MARTIRES DE TACUBAYA,,  28,  73.25,  60.75,  23.58,,,,,
,MATIAS ROMERO,,*,  2.00,-,-,,,,,
,MAZATLAN VILLA DE FLORES,,-,-,-,-,,,,,
,NEJAPA DE MADERO,,*,  4.00,  4.00,  2.00,,,,,
,SANTIAGO NILTEPEC,,  4,  5.00,  5.00,  3.10,,,,,
,PINOTEPA DE DON LUIS,,-,-,-,-,,,,,
,REFORMA DE PINEDA,,  9,  18.50,  18.50,  15.40,,,,,
,SALINA CRUZ,,  15,  30.50,  4.50,  0.81,,,,,
,SAN ANDRES HUAXPALTEPEC,,-,-,-,-,,,,,
,SAN ANTONIO TEPETLAPA,,*,  1.25,  1.25,  1.20,,,,,
,SAN BLAS ATEMPA,,  140,  370.20,  313.78,  236.11,,,,,
,SAN DIONISIO DEL MAR,,-,-,-,-,,,,,
,SAN FELIPE JALAPA DE DIAZ,,  3,  2.75,  0.75,  0.15,,,,,
,SAN FRANCISCO DEL MAR,,*,  1.00,  1.00,  0.50,,,,,
,SAN FRANCISCO IXHUATAN,,*,  2.00,  2.00,  0.90,,,,,
,SAN JERONIMO SOSOLA,,-,-,-,-,,,,,
,SAN JOSE CHILTEPEC,,-,-,-,-,,,,,
,SAN JOSE ESTANCIA GRANDE,,*,  10.00,  4.00,  1.50,,,,,
,SAN JOSE INDEPENDENCIA,,*,  1.00,  1.00,  0.08,,,,,
,SAN JUAN BAUTISTA LO DE SOTO,,-,-,-,-,,,,,
,SAN JUAN BAUTISTA TUXTEPEC,,  6,  2.60,  2.60,  1.71,,,,,
,SAN JUAN CACAHUATEPEC,,  8,  25.50,  6.75,  4.50,,,,,
,SAN JUAN COTZOCON,,-,-,-,-,,,,,
,SAN JUAN GUICHICOVI,,*,  0.10,-,-,,,,,
,SAN JUAN LALANA,,-,-,-,-,,,,,
,SAN JUAN MAZATLAN,,*,  1.50,  1.50,  0.16,,,,,
,SAN LORENZO,,-,-,-,-,,,,,
,SAN LUCAS OJITLAN,,-,-,-,-,,,,,
,SAN MARTIN ZACATEPEC,,-,-,-,-,,,,,
,SAN MATEO DEL MAR,,  17,  26.00,  22.33,  10.19,,,,,
,SAN MIGUEL DEL PUERTO,,-,-,-,-,,,,,
,NUEVO SOYALTEPEC,,  14,  14.50,  11.25,  7.20,,,,,
,SAN MIGUEL TLACAMAMA,,-,-,-,-,,,,,
,SAN PEDRO ATOYAC,,*,  1.75,  0.50,  0.56,,,,,
,SAN PEDRO COMITANCILLO,,  51,  172.00,  111.00,  58.57,,,,,
,SAN PEDRO HUAMELULA,,  22,  40.50,  32.00,  19.63,,,,,
,SAN PEDRO HUILOTEPEC,,-,-,-,-,,,,,
,SAN PEDRO IXCATLAN,,*,  1.00,  1.00,  0.08,,,,,
,SAN PEDRO JICAYAN,,-,-,-,-,,,,,
,SAN PEDRO MIXTEPEC - DISTR. 22 -,,*,  6.00,  6.00,  7.00,,,,,
,SAN PEDRO POCHUTLA,,-,-,-,-,,,,,
,SAN PEDRO QUIATONI,,-,-,-,-,,,,,
,SAN PEDRO TAPANATEPEC,,-,-,-,-,,,,,
,SAN PEDRO TEUTILA,,-,-,-,-,,,,,
,SAN PEDRO TUTUTEPEC,,  32,  112.00,  104.00,  83.10,,,,,
,SAN SEBASTIAN IXCAPA,,  4,  5.00,  5.00,  5.84,,,,,
,SANTA CATARINA MECHOACAN,,-,-,-,-,,,,,
,SANTA MARIA COLOTEPEC,,  31,  63.00,  59.50,  58.00,,,,,
,SANTA MARIA CORTIJO,,*,  30.00,  30.00,  14.00,,,,,
,SANTA MARIA CHIMALAPA,,-,-,-,-,,,,,
,SANTA MARIA HUATULCO,,*,  2.00,  1.50,  1.50,,,,,
,SANTA MARIA HUAZOLOTITLAN,,-,-,-,-,,,,,
,SANTA MARIA IPALAPA,,-,-,-,-,,,,,
,SANTA MARIA JACATEPEC,,  10,  7.00,  7.00,  4.78,,,,,
,SANTA MARIA JALAPA DEL MARQUES,,  11,  13.50,  7.00,  3.58,,,,,
,SANTA MARIA MIXTEQUILLA,,  15,  41.50,  17.00,  11.35,,,,,
,SANTA MARIA TECOMAVACA,,-,-,-,-,,,,,
,SANTA MARIA TONAMECA,,  21,  42.50,  34.75,  24.92,,,,,
,SANTA MARIA XADANI,,  49,  173.50,  163.50,  134.00,,,,,
,SANTIAGO ASTATA,,  11,  16.00,  12.00,  7.10,,,,,
,SANTIAGO JAMILTEPEC,,  3,  10.00,  10.00,  6.50,,,,,
,SANTIAGO JOCOTEPEC,,*,  1.00,  1.00,  1.00,,,,,
,SANTIAGO LAOLLAGA,,  18,  45.25,  31.10,  10.64,,,,,
,SANTIAGO LLANO GRANDE,,  6,  7.50,  7.50,  5.00,,,,,
,SANTIAGO PINOTEPA NACIONAL,,  68,  126.00,  113.75,  68.48,,,,,
,SANTIAGO TAPEXTLA,,-,-,-,-,,,,,
,SANTIAGO TETEPEC,,-,-,-,-,,,,,
,SANTIAGO YAVEO,,-,-,-,-,,,,,
,SANTO DOMINGO INGENIO,,*,  2.00,  2.00,  3.67,,,,,
,SANTO DOMINGO ARMENTA,,-,-,-,-,,,,,
,SANTO DOMINGO CHIHUITAN,,*,  3.00,  3.00,  0.32,,,,,
,SANTO DOMINGO DE MORELOS,,*,  0.50,  0.50,  0.40,,,,,
,SANTO DOMINGO TEHUANTEPEC,,  37,  90.00,  59.50,  31.73,,,,,
,SANTO DOMINGO TEPUXTEPEC,,-,-,-,-,,,,,
,SANTO DOMINGO ZANATEPEC,,  11,  21.50,  18.50,  12.45,,,,,
,SANTOS REYES NOPALA,,-,-,-,-,,,,,
,UNION HIDALGO,,-,-,-,-,,,,,
PUEBLA,,,  38,  43.70,  22.62,  6.13,,,,,
,ACATLAN,,-,-,-,-,,,,,
,AHUATLAN,,-,-,-,-,,,,,
,AJALPAN,,-,-,-,-,,,,,
,AXUTLA,,-,-,-,-,,,,,
,AYOTOXCO DE GUERRERO,,  3,  2.00,  0.75,  0.06,,,,,
,COHETZALA,,-,-,-,-,,,,,
,CUAYUCA DE ANDRADE,,-,-,-,-,,,,,
,CUETZALAN DEL PROGRESO,,  4,  4.50,  1.75,  0.15,,,,,
,CHALCHICOMULA DE SESMA,,-,-,-,-,,,,,
,CHIAUTLA,,-,-,-,-,,,,,
,CHIETLA,,-,-,-,-,,,,,
,CHILA DE LA SAL,,-,-,-,-,,,,,
,CHINANTLA,,-,-,-,-,,,,,
,FRANCISCO Z. MENA,,*,  0.50,  0.50,  0.15,,,,,
,HERMENEGILDO GALEANA,,-,-,-,-,,,,,
,HUEHUETLAN EL CHICO,,-,-,-,-,,,,,
,HUEYTAMALCO,,*,  1.75,  1.75,  0.02,,,,,
,IXCAMILPA DE GUERRERO,,-,-,-,-,,,,,
,IZUCAR DE MATAMOROS,,-,-,-,-,,,,,
,JALPAN,,*,  2.00,  0.50,  0.39,,,,,
,JOLALPAN,,-,-,-,-,,,,,
,JONOTLA,,  4,  2.75,  1.77,  0.09,,,,,
,JOPALA,,-,-,-,-,,,,,
,ORIENTAL,,-,-,-,-,,,,,
,PANTEPEC,,-,-,-,-,,,,,
,PIAXTLA,,-,-,-,-,,,,,
,SAN JERONIMO XAYACATLAN,,-,-,-,-,,,,,
,SAN PABLO ANICANO,,*,  1.50,-,-,,,,,
,SAN PEDRO YELOIXTLAHUACA,,-,-,-,-,,,,,
,SOLTEPEC,,-,-,-,-,,,,,
,TECOMATLAN,,-,-,-,-,,,,,
,TEHUITZINGO,,*,  8.00,  1.00,  0.12,,,,,
,TENAMPULCO,,  6,  5.00,  4.50,  2.82,,,,,
,TLACUILOTEPEC,,-,-,-,-,,,,,
,TLAHUAPAN,,-,-,-,-,,,,,
,TULCINGO,,-,-,-,-,,,,,
,TUZAMAPAN DE GALEANA,,-,-,-,-,,,,,
,VENUSTIANO CARRANZA,,-,-,-,-,,,,,
,VICENTE GUERRERO,,-,-,-,-,,,,,
,XAYACATLAN DE BRAVO,,-,-,-,-,,,,,
,XICOTEPEC,,  13,  11.70,  6.10,  2.08,,,,,
,XICOTLAN,,-,-,-,-,,,,,
,ZIHUATEUTLA,,*,  0.50,  0.50,  0.23,,,,,
,ZOQUIAPAN,,*,  3.50,  3.50,  0.02,,,,,
QUERETARO,,,*,  4.50,  0.05,  0.04,,,,,
,JALPAN DE SERRA,,*,  4.50,  0.05,  0.04,,,,,
,LANDA DE MATAMOROS,,-,-,-,-,,,,,
QUINTANA ROO,,,  5,  3.95,  3.45,  0.49,,,,,
,FELIPE CARRILLO PUERTO,,-,-,-,-,,,,,
,OTHON P. BLANCO,,  5,  3.95,  3.45,  0.49,,,,,
,JOSE MARIA MORELOS,,-,-,-,-,,,,,
,LAZARO CARDENAS,,-,-,-,-,,,,,
SAN LUIS POTOSI,,,  34,  38.24,  28.59,  4.98,,,,,
,AQUISMON,,  5,  5.00,  2.75,  0.56,,,,,
,CIUDAD DEL MAIZ,,-,-,-,-,,,,,
,TANCANHUITZ DE SANTOS,,  8,  4.54,  3.89,  0.33,,,,,
,CIUDAD VALLES,,  4,  5.25,  5.25,  0.68,,,,,
,COXCATLAN,,*,  1.00,  1.00,  0.01,,,,,
,HUEHUETLAN,,*,  0.75,  0.75,  0.76,,,,,
,MATEHUALA,,-,-,-,-,,,,,
,SAN ANTONIO,,-,-,-,-,,,,,
,SAN MARTIN CHALCHICUAUTLA,,-,-,-,-,,,,,
,SANTA CATARINA,,  5,  14.50,  10.50,  1.55,,,,,
,SAN VICENTE TANCUAYALAB,,-,-,-,-,,,,,
,TAMAZUNCHALE,,  5,  3.00,  2.50,  0.33,,,,,
,TAMPACAN,,*,  1.70,  1.20,  0.71,,,,,
,TAMPAMOLON CORONA,,-,-,-,-,,,,,
,TAMUIN,,-,-,-,-,,,,,
,TANLAJAS,,-,-,-,-,,,,,
,TANQUIAN DE ESCOBEDO,,-,-,-,-,,,,,
,AXTLA DE TERRAZAS,,*,  2.50,  0.75,  0.04,,,,,
,XILITLA,,-,-,-,-,,,,,
SINALOA,,,  924, 6 293.20, 3 782.49, 1 654.41,,,,,
,AHOME,,  470, 3 818.20, 1 773.33,  682.30,,,,,
,ANGOSTURA,,  5,  35.50,  35.50,  22.83,,,,,
,BADIRAGUATO,,-,-,-,-,,,,,
,CONCORDIA,,  3,  9.00,  6.00,  3.50,,,,,
,COSALA,,*,  6.00,  6.00,  1.00,,,,,
,CULIACAN,,  59,  365.25,  326.25,  179.57,,,,,
,CHOIX,,*,  6.00,  6.00,  2.00,,,,,
,ELOTA,,  45,  257.00,  206.75,  105.94,,,,,
,ESCUINAPA,,  5,  8.00,  7.00,  4.47,,,,,
,"FUERTE, EL",,  54,  329.75,  305.75,  140.25,,,,,
,GUASAVE,,  9,  51.00,  15.00,  11.53,,,,,
,MAZATLAN,,  9,  24.50,  20.50,  9.94,,,,,
,MOCORITO,,  43,  345.50,  322.50,  127.91,,,,,
,ROSARIO,,  5,  18.00,  18.00,  10.82,,,,,
,SALVADOR ALVARADO,,  24,  201.00,  107.00,  63.92,,,,,
,SAN IGNACIO,,  10,  28.50,  25.80,  20.14,,,,,
,SINALOA,,  181,  790.00,  601.11,  268.29,,,,,
SONORA,,,  103,  816.85,  802.85,  519.51,,,,,
,ALAMOS,,*,  8.00,  8.00,  5.25,,,,,
,ALTAR,,*,  25.00,  25.00,  20.03,,,,,
,BACUM,,  4,  23.00,  23.00,  19.73,,,,,
,CABORCA,,*,  50.00,  50.00,  40.05,,,,,
,CAJEME,,*,  14.00,  12.00,  6.00,,,,,
,"COLORADA, LA",,*,  2.50,  2.50,  3.22,,,,,
,EMPALME,,*,  45.00,  45.00,  29.88,,,,,
,ETCHOJOA,,  8,  133.30,  133.30,  104.67,,,,,
,GUAYMAS,,  31,  231.00,  222.00,  121.13,,,,,
,HERMOSILLO,,*,  80.00,  80.00,  53.00,,,,,
,HUATABAMPO,,  3,  9.50,  9.50,  2.90,,,,,
,NAVOJOA,,  31,  125.55,  123.55,  94.48,,,,,
,ONAVAS,,-,-,-,-,,,,,
,OPODEPE,,-,-,-,-,,,,,
,QUIRIEGO,,  14,  65.50,  64.50,  17.67,,,,,
,ROSARIO,,*,  4.50,  4.50,  1.50,,,,,
,SAN LUIS RIO COLORADO,,-,-,-,-,,,,,
,SAN MIGUEL DE HORCASITAS,,-,-,-,-,,,,,
,URES,,-,-,-,-,,,,,
,GENERAL PLUTARCO ELIAS CALLES,,-,-,-,-,,,,,
TABASCO,,,*,  1.00,  1.00,  0.15,,,,,
,BALANCAN,,-,-,-,-,,,,,
,CENTLA,,-,-,-,-,,,,,
,CENTRO,,-,-,-,-,,,,,
,HUIMANGUILLO,,-,-,-,-,,,,,
,JALAPA,,-,-,-,-,,,,,
,TACOTALPA,,*,  1.00,  1.00,  0.15,,,,,
,TEAPA,,-,-,-,-,,,,,
,TENOSIQUE,,-,-,-,-,,,,,
TAMAULIPAS,,,  57,  224.00,  200.31,  109.76,,,,,
,ALDAMA,,*,  0.50,  0.50,  0.04,,,,,
,ALTAMIRA,,*,  5.50,  1.50,  0.27,,,,,
,ANTIGUO MORELOS,,  4,  7.00,  6.31,  4.10,,,,,
,GOMEZ FARIAS,,-,-,-,-,,,,,
,GONZALEZ,,-,-,-,-,,,,,
,GÜEMEZ,,*,  2.00,  2.00,  0.30,,,,,
,HIDALGO,,  4,  10.50,  6.50,  4.50,,,,,
,LLERA,,  36,  146.00,  133.00,  77.38,,,,,
,"MANTE,EL",,  8,  50.50,  48.50,  22.47,,,,,
,MATAMOROS,,-,-,-,-,,,,,
,NUEVO MORELOS,,-,-,-,-,,,,,
,OCAMPO,,-,-,-,-,,,,,
,PADILLA,,*,  2.00,  2.00,  0.70,,,,,
,TULA,,-,-,-,-,,,,,
,XICOTENCATL,,-,-,-,-,,,,,
TLAXCALA,,,-,-,-,-,,,,,
,NANACAMILPA DE MARIANO ARISTA,,-,-,-,-,,,,,
VERACRUZ,,,  249,  317.01,  229.59,  107.24,,,,,
,ACAYUCAN,,-,-,-,-,,,,,
,ACTOPAN,,*,  1.25,  1.25,  1.31,,,,,
,CAMARON DE TEJEDA,,-,-,-,-,,,,,
,ALTO LUCERO,,-,-,-,-,,,,,
,ATZALAN,,*,  0.50,  0.50,  0.03,,,,,
,TLALTETELA,,-,-,-,-,,,,,
,BENITO JUAREZ,,*,  3.75,  0.25,  0.33,,,,,
,CARRILLO PUERTO,,*,  2.00,  2.00,  0.30,,,,,
,CAZONES DE HERRERA,,  4,  3.25,  2.75,  1.30,,,,,
,COAHUITLAN,,*,  1.50,  0.75,  0.08,,,,,
,COATZACOALCOS,,-,-,-,-,,,,,
